locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	locustag_in_Nmen	GN_in_Nmen	locustag_in_FA1090	GN_in_FA1090
NGFG_00172	miaB	gene	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB	NMB1866	miaB	NGO_0037	miaB
NGFG_02254		gene	hypothetical protein				
NGFG_02255		gene	hypothetical protein				
NGFG_00174		gene	glutamate-1-semialdehyde 2%2C1-aminomutase	NMB1864	hemL	NGO_0040	hemL
NGFG_00175		gene	oligoribonuclease	NMB1863	orn	NGO_0042	orn
NGFG_00176		gene	ribosomal protein L11 methyltransferase	NMB1862	prmA	NGO_0043	prmA
NGFG_00177		gene	biotin carboxylase	NMB1861	accC	NGO_0044	accC
NGFG_00178		gene	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein	NMB1860		NGO_0045	
NGFG_00180		gene	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	NMB1859	queA	NGO_0047	queA
NGFG_00181		gene	carbamoyl-phosphate synthase large chain	NMB1855	carB	NGO_0048	carB
NGFG_00182		gene	hypothetical protein				
NGFG_00183		gene	hypothetical protein				
NGFG_00184		gene	DNA (Cytosine-5-)-methyltransferase	NMB1852		NGO_0050	
NGFG_00186		gene	glyoxalase			NGO_0050a	
NGFG_00187		gene	carbamoyl-phosphate synthase small chain	NMB1849	carA	NGO_0053	carA
NGFG_02257		gene	hypothetical protein				
NGFG_00189		gene	chromosome partitioning ATPase	NMB1846	apbC	NGO_0056	apbC
NGFG_00190		gene	thioredoxin	NMB1845		NGO_0057	
NGFG_00192	hpaR	gene	homoprotocatechuate degradation operon regulator%2C HpaR	NMB1843	nadR	NGO_0058	nadR
NGFG_00193		gene	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	NMB1842	hpaC	NGO_0059	hpaC
NGFG_00194		gene	sugar-phosphate transferase	NMB1841		NGO_0060	
NGFG_00195		gene	membrane protein	NMB1840		NGO_0060a	
NGFG_00196		gene	formate-tetrahydrofolate ligase	NMB1839		NGO_0062	
NGFG_00197	ychF	gene	GTP-binding protein YchF	NMB1838	ychF	NGO_0063	ychF
NGFG_00199	wbpC	gene	lipopolysaccharide biosynthesis protein WbpC	NMB1836		NGO_0065	
NGFG_00200		gene	tyrosyl-tRNA synthetase	NMB1835	tyrS	NGO_0066	tyrS
NGFG_02258		gene	opacity protein	NMB1636		NGO_0950a	
NGFG_00203	ribF	gene	riboflavin biosynthesis protein RibF	NMB1834	ribF	NGO_0068	ribF
NGFG_00204		gene	isoleucyl-tRNA synthetase	NMB1833	ileS	NGO_0069	ileS
NGFG_02259		gene	opacity protein	NMB1636		NGO_1073a	
NGFG_00207		gene	lipoprotein signal peptidase	NMB1832		NGO_0071	lspA
NGFG_00208		gene	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	NMB1831	ispH	NGO_0072	ispH
NGFG_02260		gene	transposase			NGO_0072a	
NGFG_00209		gene	phosphoglycolate phosphatase	NMB1830		NGO_0073	
NGFG_00214		gene	DNA polymerase III subunit alpha	NMB1827	dnaE	NGO_0078	dnaE
NGFG_00217		gene	ribosome-associated protein	NMB1826		NGO_0079	
NGFG_00218		gene	hypothetical protein	NMB1825		NGO_0080	
NGFG_00219		gene	PHP domain protein	NMB1824		NGO_0081	
NGFG_00220		gene	valine-pyruvate aminotransferase	NMB1823		NGO_0082	
NGFG_00221	pglD	gene	pilin glycosylation protein PglD	NMB1822	pglD	NGO_0083	
NGFG_00222	pglC	gene	pilin glycosylation protein PglC	NMB1821		NGO_0084	
NGFG_00223	pglB	gene	pilin glycosylation protein PglB	NMB1820		NGO_0085	
NGFG_00224		gene	lipopolysaccharide biosynthesis translocase	NMB1818		NGO_0088	
NGFG_00225	ribD	gene	riboflavin biosynthesis protein RibD	NMB1817	ribD	NGO_0089	ribD
NGFG_00226	nrdR	gene	transcriptional repressor NrdR	NMB1816	nrdR	NGO_0090	nrdR
NGFG_00227		gene	glutamine amidotransferase	NMB1815		NGO_0091	
NGFG_00230		gene	3-dehydroquinate synthase	NMB1814	aroB	NGO_0092	aroB
NGFG_00231		gene	shikimate kinase	NMB1813		NGO_0093	
NGFG_00232	pilQ	gene	type IV pilus biogenesis and competence protein pilQ	NMB1812	pilQ	NGO_0094	pilQ
NGFG_00233	pilP	gene	type IV pilus assembly protein PilP	NMB1811	pilP	NGO_0095	pilP
NGFG_00234	pilO	gene	type IV pilus assembly protein PilO	NMB1810	pilO	NGO_0096	pilO
NGFG_00235	pilN	gene	type IV pilus assembly protein PilN	NMB1809		NGO_0097	
NGFG_00236	pilM	gene	type IV pilus assembly protein PilM	NMB1808	pilM	NGO_0098	pilM
NGFG_00237		gene	penicillin-binding protein 1A	NMB1807		NGO_0099	
NGFG_00238	ysxC	gene	ribosome biogenesis GTP-binding protein YsxC	NMB1806		NGO_0100	
NGFG_00239		gene	cytochrome c	NMB1805		NGO_0101	
NGFG_00240		gene	cytochrome c biogenesis protein	NMB1804		NGO_0102	
NGFG_00241	ccsB	gene	cytochrome c-type biogenesis protein CcsB	NMB1803	ccsB	NGO_0103	ccsB
NGFG_00242		gene	glycoprotease/Kae1 family metallohydrolase	NMB1802	tsaD	NGO_0104	tsaD
NGFG_00243		gene	lipid A biosynthesis lauroyl acyltransferase	NMB1801		NGO_0105	
NGFG_00245		gene	S-adenosylmethionine synthase	NMB1799		NGO_0106	
NGFG_00246		gene	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	NMB1797	dacB	NGO_0107	dacB
NGFG_00247		gene	oxidoreductase	NMB1796		NGO_0108	
NGFG_00249		gene	citrate transporter	NMB1794		NGO_0110	
NGFG_00250		gene	two-component system%2C OmpR family%2C response regulator			NGO_0110a	
NGFG_00251	qseC	gene	two-component system%2C OmpR family%2C sensor kinase QseC			NGO_0112	
NGFG_00252		gene	cytoplasmic axial filament protein	NMB1791	rng	NGO_0113	rng
NGFG_00253		gene	glutaredoxin	NMB1790	grxC	NGO_0114	grxC
NGFG_00254	secB	gene	protein-export protein secB	NMB1789	secB	NGO_0116	secB
NGFG_00255	recG	gene	ATP-dependent DNA helicase RecG	NMB1788	recG	NGO_0117	recG
NGFG_00256		gene	N-acetyl-gamma-glutamyl-phosphate reductase	NMB1787		NGO_0118	
NGFG_00257		gene	hypothetical protein			NGO_0119	
NGFG_00259		gene	Cupin family protein	NMB1786		NGO_0121	
NGFG_00260		gene	hypothetical protein	NMB1785		NGO_00655	
NGFG_00262		gene	Colicin V secretion protein			NGO_0123	
NGFG_00263		gene	hypothetical protein			NGO_0124	
NGFG_00264		gene	hypothetical protein			NGO_0125	
NGFG_00266	brkB	gene	virulence factor BrkB	NMB0524		NGO_0127	
NGFG_02262		gene	Trp repressor binding protein				
NGFG_00267	queC	gene	queuosine biosynthesis protein QueC	NMB0525	queC	NGO_0129	queC
NGFG_00268		gene	hypothetical protein	NMB0526		NGO_0130	
NGFG_00269	queD	gene	queuosine biosynthesis protein QueD	NMB0527	queD	NGO_0131	queD
NGFG_00270		gene	membrane protein	NMB0528		NGO_00715	
NGFG_00271		gene	hypothetical protein	NMB0529	queE	NGO_0132	queE
NGFG_00272		gene	beta-N-acetylhexosaminidase	NMB0530	nagZ	NGO_0135	nagZ
NGFG_00273		gene	Na+:H+ antiporter	NMB0531		NGO_0136	
NGFG_00275		gene	peptidase Do	NMB0532		NGO_0138	
NGFG_00276		gene	endonuclease III	NMB0533	nth	NGO_0139	nth
NGFG_00277		gene	membrane protein	NMB0534		NGO_0140	
NGFG_02263		gene	glucose/galactose transporter warning	NMB0535		NGO_0142	
NGFG_00281	nhaC	gene	Na+/H+ antiporter NhaC	NMB0536	nhaC	NGO_0143	nhaC
NGFG_00282		gene	magnesium and cobalt transporter	NMB0537		NGO_0144	
NGFG_00283		gene	rRNA maturation factor	NMB0538	ybeY	NGO_0145	ybeY
NGFG_00284		gene	porphobilinogen deaminase	NMB0539	hemC	NGO_0146	hemC
NGFG_02264		gene	hypothetical protein				
NGFG_02265		gene	hypothetical protein	NMB1736		NGO_00200	
NGFG_00286		gene	FAD-binding protein			NGO_0147	
NGFG_00287		gene	ATP-dependent RNA helicase	NMB1422		NGO_0149	
NGFG_00289		gene	tRNA-dihydrouridine synthase B	NMB1421	dusB	NGO_0151	dusB
NGFG_00291		gene	fis family transcriptional regulator%2C factor for inversion stimulation protein	NMB1420		NGO_0152	
NGFG_00292	ruvC	gene	crossover junction endodeoxyribonuclease ruvC	NMB1419	ruvC	NGO_0153	ruvC
NGFG_00293		gene	lipid A biosynthesis lauroyl acyltransferase	NMB1418		NGO_0154	
NGFG_00295		gene	hypothetical protein	NMB1417		NGO_0156	
NGFG_00297		gene	aminopeptidase N	NMB1416	pepN	NGO_0158	pepN
NGFG_02266		gene	transposase	NMB1411		NGO_0528	
NGFG_00300		gene	hypothetical protein				
NGFG_00301		gene	hypothetical protein	NMB0859		NGO_0163	
NGFG_00302		gene	hypothetical protein	NMB0860		NGO_0164	
NGFG_00303		gene	hypothetical protein	NMB0861		NGO_0165	
NGFG_00304		gene	hypothetical protein	NMB0866		NGO_0166	
NGFG_00305		gene	zinc/manganese ABC transporter substrate-binding protein	NMB0586		NGO_0168	
NGFG_00306		gene	zinc/manganese ABC transporter permease	NMB0587		NGO_0169	
NGFG_00307		gene	zinc/manganese ABC transporter ATP-binding protein	NMB0588		NGO_0170	
NGFG_00308		gene	50S ribosomal protein L19	NMB0589	rplS	NGO_0171	rplS
NGFG_00309		gene	tRNA (guanine-N(1)-)-methyltransferase	NMB0590	trmD	NGO_0172	trmD
NGFG_00310	rimM	gene	ribosome maturation factor rimM	NMB0591	rimM	NGO_0173	rimM
NGFG_00311		gene	30S ribosomal protein S16	NMB0592	rpsP	NGO_0174	rpsP
NGFG_00313		gene	two-component system%2C OmpR family%2C sensor kinase	NMB0594		NGO_0176	
NGFG_00314		gene	two-component system%2C OmpR family%2C response regulator	NMB0595		NGO_0177	
NGFG_00316		gene	O-antigen polymerase	NMB0596		NGO_0178	
NGFG_00317		gene	hypothetical protein	NMB0597		NGO_0179	
NGFG_00318	maf	gene	septum formation protein Maf	NMB0598	maf	NGO_0180	maf
NGFG_00319	tatC	gene	twin arginine-targeting protein translocase TatC	NMB0599	tatC	NGO_0181	tatC
NGFG_00320	tatB	gene	twin arginine-targeting protein translocase TatB	NMB0600	tatB	NGO_0182	tatB
NGFG_00321		gene	TatA/E family twin arginine-targeting protein translocase	NMB0601	tatA	NGO_0183	tatA
NGFG_00322		gene	purine nucleoside phosphoramidase	NMB0602		NGO_0184	
NGFG_00323		gene	phosphoribosyl-ATP pyrophosphatase	NMB0603		NGO_0185	
NGFG_00324		gene	zinc-binding alcohol dehydrogenase	NMB0604		NGO_0186	
NGFG_02267		gene	transposase			NGO_0590a	
NGFG_00325		gene	Histone deacetylase family protein	NMB0605		NGO_0187	
NGFG_00326		gene	preprotein translocase%2C YajC subunit	NMB0606	yajC	NGO_0188	yajC
NGFG_00327	secD	gene	protein-export membrane protein SecD	NMB0607	secD	NGO_0189	secD
NGFG_00328	secF	gene	protein-export membrane protein SecF	NMB0608	secF	NGO_0190	secF
NGFG_00329		gene	30S ribosomal protein S15	NMB0609	rpsO	NGO_0191	rpsO
NGFG_00330		gene	polyamine ABC transporter%2C ATP-binding protein	NMB0610	potA	NGO_0192	potA
NGFG_02268		gene	hypothetical protein			NGO_01035	
NGFG_00331		gene	putrescine ABC transporter permease	NMB0611		NGO_0195	
NGFG_00332		gene	putrescine ABC transporter permease	NMB0612		NGO_0196	
NGFG_00333		gene	oxidoreductase	NMB0614		NGO_0197	
NGFG_00334		gene	ammonium transporter	NMB0615		NGO_0198	
NGFG_00335	rho	gene	transcription termination factor Rho	NMB0617	rho	NGO_0199	rho
NGFG_00336		gene	phosphoenolpyruvate synthase	NMB0618	ppsA	NGO_0200	ppsA
NGFG_02269		gene	transposase	NMB1411		NGO_1211	
NGFG_00337		gene	hypothetical protein	NMB0619		NGO_0202	
NGFG_00338		gene	phosphoglycolate phosphatase%2C bacterial	NMB0620		NGO_0203	
NGFG_00339		gene	hypothetical protein	NMB0621		NGO_0204	
NGFG_00340		gene	outer-membrane lipoprotein carrier protein	NMB0622	lolA	NGO_0205	lolA
NGFG_00341		gene	putrescine ABC transporter substrate-binding protein	NMB0623		NGO_0206	
NGFG_00343		gene	hypothetical protein	NMB0625		NGO_0208	
NGFG_00345		gene	peptide chain release factor 3	NMB0626		NGO_0209	
NGFG_00346		gene	phosphoribosyl-AMP cyclohydrolase	NMB0627	hisI	NGO_0210	hisI
NGFG_00347	hisF	gene	imidazole glycerol phosphate synthase subunit hisF	NMB0628	hisF	NGO_0211	hisF
NGFG_00348		gene	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	NMB0629	hisA	NGO_0212	hisA
NGFG_00349	hisH	gene	imidazole glycerol phosphate synthase subunit hisH	NMB0630	hisH	NGO_0213	hisH
NGFG_00350		gene	phosphate acetyltransferase	NMB0631	pta	NGO_0214	pta
NGFG_00351	fbpC	gene	Fe(3+) ions import ATP-binding protein FbpC	NMB0632	fbpC	NGO_0215	fbpC
NGFG_00352		gene	Fe(3+)-transport system permease fbpB 2	NMB0633	fbpB	NGO_0216	fbpB
NGFG_00353		gene	major ferric iron-binding protein	NMB0634	fbpA	NGO_0217	fbpA
NGFG_00355		gene	hypothetical protein	NMB0636		NGO_0218	
NGFG_00356		gene	argininosuccinate lyase	NMB0637	argH	NGO_0219	argH
NGFG_00357		gene	UTP-glucose-1-phosphate uridylyltransferase	NMB0638	galU	NGO_0220	galU
NGFG_00358		gene	nucleoside-triphosphatase	NMB0639	rdgB	NGO_0221	rdgB
NGFG_00359		gene	hypothetical protein	NMB0640		NGO_0222	
NGFG_00360		gene	inorganic pyrophosphatase	NMB0641		NGO_0223	
NGFG_00361		gene	dATP pyrophosphohydrolase	NMB0642	nudB	NGO_0224	nudB
NGFG_00362		gene	MafB family adhesin protein	NMB0643	mafB	NGO_0225	mafB
NGFG_00363		gene	hypothetical protein	NMB0648		NGO_0226	
NGFG_02270		gene	hypothetical protein				
NGFG_00364		gene	hypothetical protein				
NGFG_00366		gene	hypothetical protein	NMB0651		NGO_0229	
NGFG_02271		gene	TrkH family potassium uptake protein	NMB0661	trk	NGO_0230	trk
NGFG_02272		gene	Bis(5'-nucleosyl)-tetraphosphatase			NGO_0231	
NGFG_00368		gene	endoribonuclease L-PSP	NMB0662		NGO_0232	
NGFG_00369		gene	opacity protein	NMB0663	nspA	NGO_0233	nspA
NGFG_00371		gene	oxygen-independent coproporphyrinogen III oxidase	NMB0665		NGO_0234	
NGFG_00372		gene	DNA ligase	NMB0666	ligA	NGO_0235	ligA
NGFG_00373		gene	hypothetical protein	NMB0667	zipA	NGO_0236	zipA
NGFG_00374	ampD	gene	N-acetyl-anhydromuranmyl-L-alanine amidase AmpD	NMB0668	ampD	NGO_0237	ampD
NGFG_00375		gene	aminodeoxychorismate lyase	NMB0669	mltG	NGO_0238	mltG
NGFG_00376		gene	thymidylate kinase	NMB0670		NGO_0239	
NGFG_00377		gene	malate dehydrogenase	NMB0671		NGO_0240	
NGFG_00378		gene	hypothetical protein			NGO_0241	
NGFG_00379		gene	tetraacyldisaccharide 4'-kinase	NMB0672		NGO_0242	
NGFG_02273		gene	hypothetical protein	NMB0673		NGO_0243	
NGFG_00381		gene	3-deoxy-manno-octulosonate cytidylyltransferase	NMB0675	kdsB	NGO_0245	kdsB
NGFG_02274		gene	hypothetical protein	NMB0676		NGO_0246	
NGFG_00383		gene	hypothetical protein			NGO_0247	
NGFG_00384		gene	tryptophan synthase alpha chain	NMB0678		NGO_0248	
NGFG_00385		gene	acetyl-CoA carboxylase%2C carboxyl transferase%2C beta subunit	NMB0679		NGO_0249	
NGFG_00386		gene	hypothetical protein	NMB0680	cnp1	NGO_0250	
NGFG_00387		gene	UPF0033 protein	NMB0681		NGO_0250a	
NGFG_02275		gene	lipoprotein			NGO_0252	
NGFG_02276		gene	hypothetical protein			NGO_0040a	
NGFG_02277		gene	hypothetical protein				
NGFG_00390		gene	dihydroorotase	NMB0682	pyrC	NGO_0255	pyrC
NGFG_00391	nusB	gene	transcription antitermination factor NusB	NMB0683	nusB	NGO_0256	nusB
NGFG_00392		gene	6%2C7-dimethyl-8-ribityllumazine synthase	NMB0684		NGO_0257	
NGFG_00393		gene	hypothetical protein	NMB0685		NGO_0258	
NGFG_02278		gene	ribonuclease 3	NMB0686	rnc	NGO_0259	rnc
NGFG_00396	era	gene	GTPase Era	NMB0687	era	NGO_0260	era
NGFG_02279		gene	hypothetical protein				
NGFG_00398		gene	lactoferrin binding protein B	NMB1541	lbpB		
NGFG_00400		gene	lactoferrin-binding protein A	NMB1540	lbpA	NGO_0260a	
NGFG_00401		gene	N-(5'-phosphoribosyl)anthranilate isomerase	NMB0688		NGO_0261	
NGFG_00402	greB	gene	transcription elongation factor greB	NMB0689	greB	NGO_0262	greB
NGFG_00403		gene	amidophosphoribosyltransferase	NMB0690	purF	NGO_0263	purF
NGFG_00405		gene	colicin V production membrane protein	NMB0691		NGO_0264	
NGFG_00406	ftsN	gene	cell division protein FtsN	NMB0692	ftsN	NGO_0265	ftsN
NGFG_00407		gene	FolC protein	NMB0693	folC	NGO_0266	folC
NGFG_00408	folI	gene	transcriptional regulator FolI	NMB0694	folI	NGO_0267	
NGFG_00409		gene	hypothetical protein	NMB0695		NGO_0268	
NGFG_00410		gene	polar amino acid ABC transporter ATP-binding protein	NMB0696		NGO_0269	
NGFG_00411		gene	hypothetical protein			NGO_0270	
NGFG_00412		gene	hypothetical protein			NGO_0271	
NGFG_00413		gene	ribosomal RNA small subunit methyltransferase A	NMB0697	rsmA	NGO_0272	rsmA
NGFG_00414		gene	hypothetical protein	NMB0698		NGO_272a	
NGFG_00415		gene	tryptophan synthase beta chain	NMB0699	trpB	NGO_0274	trpB
NGFG_00416		gene	IgA-specific serine endopeptidase autotransporter			NGO_0275	
NGFG_00417	comA	gene	competence protein ComA	NMB0702		NGO_0276	
NGFG_00418	comL	gene	competence lipoprotein ComL	NMB0703	bamD	NGO_0277	bamD
NGFG_00419		gene	ribosomal large subunit pseudouridine synthase D	NMB0704	rluD	NGO_0278	rluD
NGFG_00422		gene	hypothetical protein	NMB0706	pgeF	NGO_0281	pgeF
NGFG_00423		gene	rare lipoprotein B	NMB0707		NGO_0282	
NGFG_00424		gene	DNA polymerase III%2C delta subunit	NMB0708		NGO_0283	
NGFG_00425		gene	hypothetical protein	NMB0709		NGO_0284	
NGFG_00426		gene	RDD family protein	NMB0710		NGO_0285	
NGFG_00427		gene	hypothetical protein	NMB0711		NGO_0286	
NGFG_00428		gene	UPF0114 protein			NGO_01540	
NGFG_00429		gene	hypothetical protein				
NGFG_00430	rpoH	gene	alternative sigma factor RpoH	NMB0712	rpoH	NGO_0288	rpoH
NGFG_00432		gene	apolipoprotein N-acyltransferase	NMB0713	lnt	NGO_0289	lnt
NGFG_00433		gene	hypothetical protein			NGO_0290	
NGFG_00435		gene	cell volume regulation potassium/proton antiporter			NGO_0291	
NGFG_02280		gene	cytochrome c	NMB0717		NGO_0292	
NGFG_02281		gene	ferrochelatase	NMB0718		NGO_0293	
NGFG_00439		gene	queuine tRNA-ribosyltransferase	NMB0719	tgt	NGO_0294	tgt
NGFG_00440		gene	threonyl-tRNA synthetase	NMB0720	thrS	NGO_0295	thrS
NGFG_00441		gene	translation initiation factor IF-3	NMB0721	infC	NGO_0296	infC
NGFG_00442		gene	50S ribosomal protein L35	NMB0722	rpmI	NGO_0297	rpmI
NGFG_00443		gene	50S ribosomal protein L20	NMB0723	rplT	NGO_0298	rplT
NGFG_00444		gene	phenylalanyl-tRNA synthetase alpha chain	NMB0724	pheS	NGO_0299	pheS
NGFG_00445	vsr	gene	DNA mismatch endonuclease Vsr			NGO_0300	
NGFG_00446		gene	DNA (cytosine-5-)-methyltransferase			NGO_01615	
NGFG_00447		gene	hypothetical protein			NGO_0302	
NGFG_00448		gene	restriction endonuclease			NGO_0303	
NGFG_00449		gene	phenylalanyl-tRNA synthetase beta chain	NMB0728		NGO_0304	
NGFG_00450		gene	integration host factor subunit alpha	NMB0729		NGO_0305	
NGFG_00451		gene	hypothetical protein			NGO_0306	
NGFG_00452		gene	FxsA-like membrane protein	NMB0730	fxsA	NGO_0307	fxsA
NGFG_00453		gene	hypothetical protein	NMB0731		NGO_01650	
NGFG_00454		gene	adenosylmethionine-8-amino-7-oxononanoate transaminase	NMB0732	bioA	NGO_0308	bioA
NGFG_00455		gene	dethiobiotin synthetase	NMB0733	bioD	NGO_0309	bioD
NGFG_00456		gene	chorismate-pyruvate lyase	NMB0734		NGO_0310	
NGFG_00458		gene	4-hydroxybenzoate octaprenyltransferase	NMB0735	ubiA	NGO_0312	ubiA
NGFG_00459	ptsN	gene	PTS IIA-like nitrogen-regulatory protein PtsN	NMB0736	ptsN	NGO_0313	ptsN
NGFG_00460		gene	HPr kinase/phosphorylase	NMB0737		NGO_0314	
NGFG_00461		gene	UPF0042 nucleotide-binding protein	NMB0738	rapZ	NGO_0315	rapZ
NGFG_00462	ylqF	gene	ribosome biogenesis GTP-binding protein YlqF		ylqF	NGO_0316	ylqF
NGFG_00463		gene	segregation and condensation protein B		scpB	NGO_0317	scpB
NGFG_00464	recN	gene	DNA repair protein RecN	NMB0740	recN	NGO_0318	recN
NGFG_00466		gene	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC domain protein	NMB0741	mnmC	NGO_0319	mnmC
NGFG_00467		gene	hypothetical protein	NMB0742		NGO_0320	
NGFG_00468	ubiE	gene	ubiquinone/menaquinone biosynthesis methyltransferase ubiE	NMB0743	ubiE	NGO_0321	ubiE
NGFG_00469		gene	hypothetical protein	NMB0744		NGO_0322	
NGFG_00470		gene	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	NMB0745	folK	NGO_0323	folK
NGFG_00471		gene	SirB family regulatory protein	NMB0746		NGO_0324	
NGFG_00472		gene	hypothetical protein				
NGFG_00473		gene	hypothetical protein	NMB0747		NGO_01750	
NGFG_00474	hfq	gene	RNA chaperone Hfq	NMB0748	hfq	NGO_0326	hfq
NGFG_00475		gene	D-alanyl-D-alanine endopeptidase (penicillin-binding protein 7)	NMB0749		NGO_0327	
NGFG_00477		gene	bacterioferritin comigratory protein	NMB0750		NGO_0328	
NGFG_00478	xerD	gene	tyrosine recombinase xerD	NMB0751	xerD	NGO_0329	xerD
NGFG_00479		gene	bacterioferritin-associated ferredoxin	NMB0752		NGO_0329a	
NGFG_00480		gene	thioredoxin	NMB0753		NGO_0331	
NGFG_00482		gene	dTDP-4-dehydrorhamnose reductase	NMB0756	rfbD	NGO_0332	rfbD
NGFG_00483		gene	phosphoribosylaminoimidazole-succinocarboxamide synthase	NMB0757		NGO_0333	
NGFG_02282		gene	polyribonucleotide nucleotidyltransferase	NMB0758	pnp	NGO_0335	pnp
NGFG_00486		gene	hypothetical protein	NMB0759		NGO_0336	
NGFG_00487		gene	lipoprotein			NGO_0337	
NGFG_00488		gene	diaminopimelate epimerase	NMB0760	dapF	NGO_0338	dapF
NGFG_00489		gene	hypothetical protein			NGO_0339	
NGFG_00490		gene	cysteine synthase	NMB0763	cysK	NGO_0340	cysK
NGFG_00491	pump	gene	amino acid metabolite efflux pump	NMB0764		NGO_0340a	
NGFG_00492		gene	hypothetical protein				
NGFG_00495		gene	signal peptidase I	NMB0765	lepB	NGO_0343	lepB
NGFG_00496	lepA	gene	GTP-binding protein LepA	NMB0766	lepA	NGO_0344	lepA
NGFG_00497		gene	MTA/SAH nucleosidase	NMB0767		NGO_0345	
NGFG_00498		gene	twitching motility protein	NMB0768		NGO_0346	
NGFG_00499		gene	DNA polymerase III%2C delta' subunit	NMB0769		NGO_0347	
NGFG_00500	pilZ	gene	type IV pilus assembly protein PilZ	NMB0770	pilZ	NGO_0348	pilZ
NGFG_00501		gene	TatD family hydrolase	NMB0771		NGO_0349	
NGFG_00502		gene	hypothetical protein	NMB0772		NGO_0350	
NGFG_00503		gene	Grx4 family monothiol glutaredoxin	NMB0773	grxD	NGO_0351	grxD
NGFG_02283		gene	hypothetical protein				
NGFG_00504		gene	uracil phosphoribosyltransferase	NMB0774	upp	NGO_0353	upp
NGFG_00505		gene	hypothetical protein	NMB0775		NGO_0354	
NGFG_00506		gene	hypothetical protein			NGO_0355	
NGFG_00507		gene	hypothetical protein			NGO_0356	
NGFG_00508		gene	hypothetical protein			NGO_0357	
NGFG_00509		gene	hypothetical protein	NMB0776		NGO_0358	
NGFG_00510		gene	uroporphyrinogen-III synthase	NMB0777		NGO_0359	
NGFG_00511		gene	hypothetical protein	NMB0778		NGO_0360	
NGFG_00512	hemY	gene	heme biosynthesis-associated protein HemY	NMB0779	hemY	NGO_0361	hemY
NGFG_00513		gene	uroporphyrinogen decarboxylase	NMB0781		NGO_0362	
NGFG_00514		gene	stress-sensitive restriction system protein			NGO_0363	
NGFG_00515		gene	restriction endonuclease			NGO_0364	
NGFG_00516		gene	DNA-cytosine methyltransferase			NGO_0365	
NGFG_00517		gene	hypothetical protein				
NGFG_00518	radA	gene	DNA repair protein RadA	NMB0782	radA	NGO_0367	radA
NGFG_00519		gene	hypothetical protein	NMB0783		NGO_0368	
NGFG_00520		gene	phage shock protein E	NMB0784		NGO_0369	
