seqName	start	ende	direction	type1	type2	Name	locus_tag	product
CP003909.1	28131	28808	-	CDS	gene	NGFG_00167	NGFG_00167	glycoprotease
CP003909.1	29944	31008	-	CDS	gene	NGFG_00169	NGFG_00169	fructose-bisphosphate aldolase
CP003909.1	31202	32119	+	CDS	gene	NGFG_00170	NGFG_00170	tyrosine recombinase xerC
CP003909.1	32204	34117	+	CDS	gene	NGFG_00171	NGFG_00171	1-deoxy-D-xylulose-5-phosphate synthase
CP003909.1	34364	35692	-	CDS	gene	NGFG_00172	NGFG_00172	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB
CP003909.1	35895	36062	+	CDS	gene	NGFG_02254	NGFG_02254	hypothetical protein
CP003909.1	36017	36412	+	CDS	gene	NGFG_02255	NGFG_02255	hypothetical protein
CP003909.1	36476	37756	+	CDS	gene	NGFG_00174	NGFG_00174	glutamate-1-semialdehyde 2%2C1-aminomutase
CP003909.1	39054	39617	-	CDS	gene	NGFG_00175	NGFG_00175	oligoribonuclease
CP003909.1	39635	40522	-	CDS	gene	NGFG_00176	NGFG_00176	ribosomal protein L11 methyltransferase
CP003909.1	40626	41987	-	CDS	gene	NGFG_00177	NGFG_00177	biotin carboxylase
CP003909.1	42099	42473	-	CDS	gene	NGFG_00178	NGFG_00178	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein
CP003909.1	42861	43901	+	CDS	gene	NGFG_00180	NGFG_00180	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CP003909.1	44102	47317	-	CDS	gene	NGFG_00181	NGFG_00181	carbamoyl-phosphate synthase large chain
CP003909.1	47324	47872	-	CDS	gene	NGFG_00182	NGFG_00182	hypothetical protein
CP003909.1	47875	48438	-	CDS	gene	NGFG_00183	NGFG_00183	hypothetical protein
CP003909.1	49619	50008	-	CDS	gene	NGFG_00184	NGFG_00184	DNA (Cytosine-5-)-methyltransferase
CP003909.1	50266	50550	-	CDS	gene	NGFG_00186	NGFG_00186	glyoxalase
CP003909.1	50604	51737	-	CDS	gene	NGFG_00187	NGFG_00187	carbamoyl-phosphate synthase small chain
CP003909.1	56642	56827	-	CDS	gene	NGFG_02257	NGFG_02257	hypothetical protein
CP003909.1	57946	59025	-	CDS	gene	NGFG_00189	NGFG_00189	chromosome partitioning ATPase
CP003909.1	59399	59908	+	CDS	gene	NGFG_00190	NGFG_00190	thioredoxin
CP003909.1	60249	60689	+	CDS	gene	NGFG_00192	NGFG_00192	homoprotocatechuate degradation operon regulator%2C HpaR
CP003909.1	60804	61304	+	CDS	gene	NGFG_00193	NGFG_00193	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component
CP003909.1	61320	62015	+	CDS	gene	NGFG_00194	NGFG_00194	sugar-phosphate transferase
CP003909.1	62069	62479	-	CDS	gene	NGFG_00195	NGFG_00195	membrane protein
CP003909.1	62654	64330	+	CDS	gene	NGFG_00196	NGFG_00196	formate-tetrahydrofolate ligase
CP003909.1	64444	65535	+	CDS	gene	NGFG_00197	NGFG_00197	GTP-binding protein YchF
CP003909.1	65809	67683	+	CDS	gene	NGFG_00199	NGFG_00199	lipopolysaccharide biosynthesis protein WbpC
CP003909.1	67745	69040	+	CDS	gene	NGFG_00200	NGFG_00200	tyrosyl-tRNA synthetase
CP003909.1	69386	70072	-	CDS	gene	NGFG_02258	NGFG_02258	opacity protein
CP003909.1	70588	71508	+	CDS	gene	NGFG_00203	NGFG_00203	riboflavin biosynthesis protein RibF
CP003909.1	71650	74439	+	CDS	gene	NGFG_00204	NGFG_00204	isoleucyl-tRNA synthetase
CP003909.1	74859	75542	-	CDS	gene	NGFG_02259	NGFG_02259	opacity protein
CP003909.1	76633	77127	+	CDS	gene	NGFG_00207	NGFG_00207	lipoprotein signal peptidase
CP003909.1	77157	78125	+	CDS	gene	NGFG_00208	NGFG_00208	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CP003909.1	78226	78675	+	CDS	gene	NGFG_02260	NGFG_02260	transposase
CP003909.1	78881	79540	-	CDS	gene	NGFG_00209	NGFG_00209	phosphoglycolate phosphatase
CP003909.1	82057	85491	-	CDS	gene	NGFG_00214	NGFG_00214	DNA polymerase III subunit alpha
CP003909.1	86024	86257	+	CDS	gene	NGFG_00217	NGFG_00217	ribosome-associated protein
CP003909.1	86235	86438	+	CDS	gene	NGFG_00218	NGFG_00218	hypothetical protein
CP003909.1	86733	87569	+	CDS	gene	NGFG_00219	NGFG_00219	PHP domain protein
CP003909.1	87621	88913	-	CDS	gene	NGFG_00220	NGFG_00220	valine-pyruvate aminotransferase
CP003909.1	88969	90879	-	CDS	gene	NGFG_00221	NGFG_00221	pilin glycosylation protein PglD
CP003909.1	90927	92132	-	CDS	gene	NGFG_00222	NGFG_00222	pilin glycosylation protein PglC
CP003909.1	92233	93474	-	CDS	gene	NGFG_00223	NGFG_00223	pilin glycosylation protein PglB
CP003909.1	93642	95063	-	CDS	gene	NGFG_00224	NGFG_00224	lipopolysaccharide biosynthesis translocase
CP003909.1	95258	96367	-	CDS	gene	NGFG_00225	NGFG_00225	riboflavin biosynthesis protein RibD
CP003909.1	96399	96863	-	CDS	gene	NGFG_00226	NGFG_00226	transcriptional repressor NrdR
CP003909.1	96892	97734	-	CDS	gene	NGFG_00227	NGFG_00227	glutamine amidotransferase
CP003909.1	98473	99552	-	CDS	gene	NGFG_00230	NGFG_00230	3-dehydroquinate synthase
CP003909.1	99632	100144	-	CDS	gene	NGFG_00231	NGFG_00231	shikimate kinase
CP003909.1	101092	103233	-	CDS	gene	NGFG_00232	NGFG_00232	type IV pilus biogenesis and competence protein pilQ
CP003909.1	103252	103797	-	CDS	gene	NGFG_00233	NGFG_00233	type IV pilus assembly protein PilP
CP003909.1	103815	104462	-	CDS	gene	NGFG_00234	NGFG_00234	type IV pilus assembly protein PilO
CP003909.1	104463	105062	-	CDS	gene	NGFG_00235	NGFG_00235	type IV pilus assembly protein PilN
CP003909.1	105065	106180	-	CDS	gene	NGFG_00236	NGFG_00236	type IV pilus assembly protein PilM
CP003909.1	106332	108728	+	CDS	gene	NGFG_00237	NGFG_00237	penicillin-binding protein 1A
CP003909.1	108848	109477	-	CDS	gene	NGFG_00238	NGFG_00238	ribosome biogenesis GTP-binding protein YsxC
CP003909.1	109684	110307	+	CDS	gene	NGFG_00239	NGFG_00239	cytochrome c
CP003909.1	110522	112537	+	CDS	gene	NGFG_00240	NGFG_00240	cytochrome c biogenesis protein
CP003909.1	112530	113717	+	CDS	gene	NGFG_00241	NGFG_00241	cytochrome c-type biogenesis protein CcsB
CP003909.1	113833	114897	+	CDS	gene	NGFG_00242	NGFG_00242	glycoprotease/Kae1 family metallohydrolase
CP003909.1	114942	115790	-	CDS	gene	NGFG_00243	NGFG_00243	lipid A biosynthesis lauroyl acyltransferase
CP003909.1	116181	117350	+	CDS	gene	NGFG_00245	NGFG_00245	S-adenosylmethionine synthase
CP003909.1	117415	118941	-	CDS	gene	NGFG_00246	NGFG_00246	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
CP003909.1	118989	119555	+	CDS	gene	NGFG_00247	NGFG_00247	oxidoreductase
CP003909.1	119933	121246	+	CDS	gene	NGFG_00249	NGFG_00249	citrate transporter
CP003909.1	121514	122143	+	CDS	gene	NGFG_00250	NGFG_00250	two-component system%2C OmpR family%2C response regulator
CP003909.1	122156	123475	+	CDS	gene	NGFG_00251	NGFG_00251	two-component system%2C OmpR family%2C sensor kinase QseC
CP003909.1	123510	125003	-	CDS	gene	NGFG_00252	NGFG_00252	cytoplasmic axial filament protein
CP003909.1	125222	125479	+	CDS	gene	NGFG_00253	NGFG_00253	glutaredoxin
CP003909.1	125500	125943	+	CDS	gene	NGFG_00254	NGFG_00254	protein-export protein secB
CP003909.1	126029	128071	+	CDS	gene	NGFG_00255	NGFG_00255	ATP-dependent DNA helicase RecG
CP003909.1	128665	129708	-	CDS	gene	NGFG_00256	NGFG_00256	N-acetyl-gamma-glutamyl-phosphate reductase
CP003909.1	129705	129986	-	CDS	gene	NGFG_00257	NGFG_00257	hypothetical protein
CP003909.1	130238	131392	+	CDS	gene	NGFG_00259	NGFG_00259	Cupin family protein
CP003909.1	131401	131628	+	CDS	gene	NGFG_00260	NGFG_00260	hypothetical protein
CP003909.1	132036	133310	+	CDS	gene	NGFG_00262	NGFG_00262	Colicin V secretion protein
CP003909.1	133495	133842	+	CDS	gene	NGFG_00263	NGFG_00263	hypothetical protein
CP003909.1	133856	134071	+	CDS	gene	NGFG_00264	NGFG_00264	hypothetical protein
CP003909.1	135435	136661	-	CDS	gene	NGFG_00266	NGFG_00266	virulence factor BrkB
CP003909.1	136760	137140	+	CDS	gene	NGFG_02262	NGFG_02262	Trp repressor binding protein
CP003909.1	137149	137808	+	CDS	gene	NGFG_00267	NGFG_00267	queuosine biosynthesis protein QueC
CP003909.1	137836	138351	+	CDS	gene	NGFG_00268	NGFG_00268	hypothetical protein
CP003909.1	138439	138861	+	CDS	gene	NGFG_00269	NGFG_00269	queuosine biosynthesis protein QueD
CP003909.1	139127	139495	+	CDS	gene	NGFG_00270	NGFG_00270	membrane protein
CP003909.1	139492	140130	+	CDS	gene	NGFG_00271	NGFG_00271	hypothetical protein
CP003909.1	140767	141852	-	CDS	gene	NGFG_00272	NGFG_00272	beta-N-acetylhexosaminidase
CP003909.1	141909	143429	-	CDS	gene	NGFG_00273	NGFG_00273	Na+:H+ antiporter
CP003909.1	143632	145131	-	CDS	gene	NGFG_00275	NGFG_00275	peptidase Do
CP003909.1	145269	145931	-	CDS	gene	NGFG_00276	NGFG_00276	endonuclease III
CP003909.1	145945	146559	-	CDS	gene	NGFG_00277	NGFG_00277	membrane protein
CP003909.1	146794	148017	+	CDS	gene	NGFG_02263	NGFG_02263	glucose/galactose transporter warning
CP003909.1	148307	149686	+	CDS	gene	NGFG_00281	NGFG_00281	Na+/H+ antiporter NhaC
CP003909.1	149829	150653	-	CDS	gene	NGFG_00282	NGFG_00282	magnesium and cobalt transporter
CP003909.1	150655	151170	-	CDS	gene	NGFG_00283	NGFG_00283	rRNA maturation factor
CP003909.1	151289	152224	+	CDS	gene	NGFG_00284	NGFG_00284	porphobilinogen deaminase
CP003909.1	153058	153354	+	CDS	gene	NGFG_02264	NGFG_02264	hypothetical protein
CP003909.1	153372	153827	-	CDS	gene	NGFG_02265	NGFG_02265	hypothetical protein
CP003909.1	154135	155361	-	CDS	gene	NGFG_00286	NGFG_00286	FAD-binding protein
CP003909.1	155552	156925	-	CDS	gene	NGFG_00287	NGFG_00287	ATP-dependent RNA helicase
CP003909.1	157139	158143	+	CDS	gene	NGFG_00289	NGFG_00289	tRNA-dihydrouridine synthase B
CP003909.1	158332	158571	+	CDS	gene	NGFG_00291	NGFG_00291	fis family transcriptional regulator%2C factor for inversion stimulation protein
CP003909.1	158574	159110	+	CDS	gene	NGFG_00292	NGFG_00292	crossover junction endodeoxyribonuclease ruvC
CP003909.1	159149	160030	+	CDS	gene	NGFG_00293	NGFG_00293	lipid A biosynthesis lauroyl acyltransferase
CP003909.1	160935	161729	+	CDS	gene	NGFG_00295	NGFG_00295	hypothetical protein
CP003909.1	161954	164557	+	CDS	gene	NGFG_00297	NGFG_00297	aminopeptidase N
CP003909.1	164619	165272	+	CDS	gene	NGFG_02266	NGFG_02266	transposase
CP003909.1	166155	166493	-	CDS	gene	NGFG_00300	NGFG_00300	hypothetical protein
CP003909.1	166538	166915	-	CDS	gene	NGFG_00301	NGFG_00301	hypothetical protein
CP003909.1	166973	167338	-	CDS	gene	NGFG_00302	NGFG_00302	hypothetical protein
CP003909.1	167320	167859	-	CDS	gene	NGFG_00303	NGFG_00303	hypothetical protein
CP003909.1	167902	168768	-	CDS	gene	NGFG_00304	NGFG_00304	hypothetical protein
CP003909.1	168988	169902	-	CDS	gene	NGFG_00305	NGFG_00305	zinc/manganese ABC transporter substrate-binding protein
CP003909.1	169979	170854	-	CDS	gene	NGFG_00306	NGFG_00306	zinc/manganese ABC transporter permease
CP003909.1	170889	171644	-	CDS	gene	NGFG_00307	NGFG_00307	zinc/manganese ABC transporter ATP-binding protein
CP003909.1	171935	172300	-	CDS	gene	NGFG_00308	NGFG_00308	50S ribosomal protein L19
CP003909.1	172315	173064	-	CDS	gene	NGFG_00309	NGFG_00309	tRNA (guanine-N(1)-)-methyltransferase
CP003909.1	173064	173573	-	CDS	gene	NGFG_00310	NGFG_00310	ribosome maturation factor rimM
CP003909.1	173589	173834	-	CDS	gene	NGFG_00311	NGFG_00311	30S ribosomal protein S16
CP003909.1	176420	177826	-	CDS	gene	NGFG_00313	NGFG_00313	two-component system%2C OmpR family%2C sensor kinase
CP003909.1	177839	178516	-	CDS	gene	NGFG_00314	NGFG_00314	two-component system%2C OmpR family%2C response regulator
CP003909.1	178592	180520	-	CDS	gene	NGFG_00316	NGFG_00316	O-antigen polymerase
CP003909.1	180510	180863	-	CDS	gene	NGFG_00317	NGFG_00317	hypothetical protein
CP003909.1	180872	181480	-	CDS	gene	NGFG_00318	NGFG_00318	septum formation protein Maf
CP003909.1	181524	182294	-	CDS	gene	NGFG_00319	NGFG_00319	twin arginine-targeting protein translocase TatC
CP003909.1	182307	182993	-	CDS	gene	NGFG_00320	NGFG_00320	twin arginine-targeting protein translocase TatB
CP003909.1	182997	183200	-	CDS	gene	NGFG_00321	NGFG_00321	TatA/E family twin arginine-targeting protein translocase
CP003909.1	183247	183570	-	CDS	gene	NGFG_00322	NGFG_00322	purine nucleoside phosphoramidase
CP003909.1	183644	183967	-	CDS	gene	NGFG_00323	NGFG_00323	phosphoribosyl-ATP pyrophosphatase
CP003909.1	184108	185172	-	CDS	gene	NGFG_00324	NGFG_00324	zinc-binding alcohol dehydrogenase
CP003909.1	185445	185894	-	CDS	gene	NGFG_02267	NGFG_02267	transposase
CP003909.1	186038	187156	-	CDS	gene	NGFG_00325	NGFG_00325	Histone deacetylase family protein
CP003909.1	187287	187553	+	CDS	gene	NGFG_00326	NGFG_00326	preprotein translocase%2C YajC subunit
CP003909.1	187764	189617	+	CDS	gene	NGFG_00327	NGFG_00327	protein-export membrane protein SecD
CP003909.1	189621	190556	+	CDS	gene	NGFG_00328	NGFG_00328	protein-export membrane protein SecF
CP003909.1	190761	191030	+	CDS	gene	NGFG_00329	NGFG_00329	30S ribosomal protein S15
CP003909.1	191140	192432	+	CDS	gene	NGFG_00330	NGFG_00330	polyamine ABC transporter%2C ATP-binding protein
CP003909.1	192448	192591	+	CDS	gene	NGFG_02268	NGFG_02268	hypothetical protein
CP003909.1	192607	193572	+	CDS	gene	NGFG_00331	NGFG_00331	putrescine ABC transporter permease
CP003909.1	193572	194459	+	CDS	gene	NGFG_00332	NGFG_00332	putrescine ABC transporter permease
CP003909.1	194585	195880	+	CDS	gene	NGFG_00333	NGFG_00333	oxidoreductase
CP003909.1	195974	197278	-	CDS	gene	NGFG_00334	NGFG_00334	ammonium transporter
CP003909.1	197899	199158	-	CDS	gene	NGFG_00335	NGFG_00335	transcription termination factor Rho
CP003909.1	199379	201763	-	CDS	gene	NGFG_00336	NGFG_00336	phosphoenolpyruvate synthase
CP003909.1	202118	202771	+	CDS	gene	NGFG_02269	NGFG_02269	transposase
CP003909.1	202897	203718	+	CDS	gene	NGFG_00337	NGFG_00337	hypothetical protein
CP003909.1	203804	204466	-	CDS	gene	NGFG_00338	NGFG_00338	phosphoglycolate phosphatase%2C bacterial
CP003909.1	204504	205331	-	CDS	gene	NGFG_00339	NGFG_00339	hypothetical protein
CP003909.1	205713	206336	+	CDS	gene	NGFG_00340	NGFG_00340	outer-membrane lipoprotein carrier protein
CP003909.1	206609	207748	+	CDS	gene	NGFG_00341	NGFG_00341	putrescine ABC transporter substrate-binding protein
CP003909.1	208958	209488	+	CDS	gene	NGFG_00343	NGFG_00343	hypothetical protein
CP003909.1	209862	211457	-	CDS	gene	NGFG_00345	NGFG_00345	peptide chain release factor 3
CP003909.1	211564	211959	-	CDS	gene	NGFG_00346	NGFG_00346	phosphoribosyl-AMP cyclohydrolase
CP003909.1	211990	212757	-	CDS	gene	NGFG_00347	NGFG_00347	imidazole glycerol phosphate synthase subunit hisF
CP003909.1	212770	213507	-	CDS	gene	NGFG_00348	NGFG_00348	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
CP003909.1	213540	214178	-	CDS	gene	NGFG_00349	NGFG_00349	imidazole glycerol phosphate synthase subunit hisH
CP003909.1	214308	215942	-	CDS	gene	NGFG_00350	NGFG_00350	phosphate acetyltransferase
CP003909.1	215995	217053	-	CDS	gene	NGFG_00351	NGFG_00351	Fe(3+) ions import ATP-binding protein FbpC
CP003909.1	217074	218603	-	CDS	gene	NGFG_00352	NGFG_00352	Fe(3+)-transport system permease fbpB 2
CP003909.1	218659	219654	-	CDS	gene	NGFG_00353	NGFG_00353	major ferric iron-binding protein
CP003909.1	220045	220386	-	CDS	gene	NGFG_00355	NGFG_00355	hypothetical protein
CP003909.1	220444	221820	-	CDS	gene	NGFG_00356	NGFG_00356	argininosuccinate lyase
CP003909.1	221839	222708	-	CDS	gene	NGFG_00357	NGFG_00357	UTP-glucose-1-phosphate uridylyltransferase
CP003909.1	222736	223335	-	CDS	gene	NGFG_00358	NGFG_00358	nucleoside-triphosphatase
CP003909.1	223328	223561	-	CDS	gene	NGFG_00359	NGFG_00359	hypothetical protein
CP003909.1	223669	224202	-	CDS	gene	NGFG_00360	NGFG_00360	inorganic pyrophosphatase
CP003909.1	224304	224762	-	CDS	gene	NGFG_00361	NGFG_00361	dATP pyrophosphohydrolase
CP003909.1	225312	227198	+	CDS	gene	NGFG_00362	NGFG_00362	MafB family adhesin protein
CP003909.1	227229	227648	+	CDS	gene	NGFG_00363	NGFG_00363	hypothetical protein
CP003909.1	227755	227895	+	CDS	gene	NGFG_02270	NGFG_02270	hypothetical protein
CP003909.1	227927	228169	+	CDS	gene	NGFG_00364	NGFG_00364	hypothetical protein
CP003909.1	228495	228830	+	CDS	gene	NGFG_00366	NGFG_00366	hypothetical protein
CP003909.1	228925	230382	-	CDS	gene	NGFG_02271	NGFG_02271	TrkH family potassium uptake protein
CP003909.1	230397	231227	-	CDS	gene	NGFG_02272	NGFG_02272	Bis(5'-nucleosyl)-tetraphosphatase
CP003909.1	231304	231693	-	CDS	gene	NGFG_00368	NGFG_00368	endoribonuclease L-PSP
CP003909.1	231840	232367	-	CDS	gene	NGFG_00369	NGFG_00369	opacity protein
CP003909.1	232810	233985	-	CDS	gene	NGFG_00371	NGFG_00371	oxygen-independent coproporphyrinogen III oxidase
CP003909.1	234042	236513	-	CDS	gene	NGFG_00372	NGFG_00372	DNA ligase
CP003909.1	236647	237933	-	CDS	gene	NGFG_00373	NGFG_00373	hypothetical protein
CP003909.1	238127	238699	-	CDS	gene	NGFG_00374	NGFG_00374	N-acetyl-anhydromuranmyl-L-alanine amidase AmpD
CP003909.1	238783	239778	+	CDS	gene	NGFG_00375	NGFG_00375	aminodeoxychorismate lyase
CP003909.1	239838	240458	+	CDS	gene	NGFG_00376	NGFG_00376	thymidylate kinase
CP003909.1	240680	241960	+	CDS	gene	NGFG_00377	NGFG_00377	malate dehydrogenase
CP003909.1	242115	242276	+	CDS	gene	NGFG_00378	NGFG_00378	hypothetical protein
CP003909.1	242362	243393	+	CDS	gene	NGFG_00379	NGFG_00379	tetraacyldisaccharide 4'-kinase
CP003909.1	243599	244132	+	CDS	gene	NGFG_02273	NGFG_02273	hypothetical protein
CP003909.1	244532	245293	+	CDS	gene	NGFG_00381	NGFG_00381	3-deoxy-manno-octulosonate cytidylyltransferase
CP003909.1	245316	245612	+	CDS	gene	NGFG_02274	NGFG_02274	hypothetical protein
CP003909.1	245634	245831	+	CDS	gene	NGFG_00383	NGFG_00383	hypothetical protein
CP003909.1	246354	247139	+	CDS	gene	NGFG_00384	NGFG_00384	tryptophan synthase alpha chain
CP003909.1	247176	248048	+	CDS	gene	NGFG_00385	NGFG_00385	acetyl-CoA carboxylase%2C carboxyl transferase%2C beta subunit
CP003909.1	248108	248719	-	CDS	gene	NGFG_00386	NGFG_00386	hypothetical protein
CP003909.1	248827	249051	+	CDS	gene	NGFG_00387	NGFG_00387	UPF0033 protein
CP003909.1	249082	249468	+	CDS	gene	NGFG_02275	NGFG_02275	lipoprotein
CP003909.1	249469	250149	-	CDS	gene	NGFG_02276	NGFG_02276	hypothetical protein
CP003909.1	250171	250467	-	CDS	gene	NGFG_02277	NGFG_02277	hypothetical protein
CP003909.1	250772	251806	+	CDS	gene	NGFG_00390	NGFG_00390	dihydroorotase
CP003909.1	251885	252310	-	CDS	gene	NGFG_00391	NGFG_00391	transcription antitermination factor NusB
CP003909.1	252388	252864	-	CDS	gene	NGFG_00392	NGFG_00392	6%2C7-dimethyl-8-ribityllumazine synthase
CP003909.1	252911	253234	-	CDS	gene	NGFG_00393	NGFG_00393	hypothetical protein
CP003909.1	253401	254120	+	CDS	gene	NGFG_02278	NGFG_02278	ribonuclease 3
CP003909.1	254155	255090	+	CDS	gene	NGFG_00396	NGFG_00396	GTPase Era
CP003909.1	255243	255485	+	CDS	gene	NGFG_02279	NGFG_02279	hypothetical protein
CP003909.1	255448	257229	+	CDS	gene	NGFG_00398	NGFG_00398	lactoferrin binding protein B
CP003909.1	257381	260212	+	CDS	gene	NGFG_00400	NGFG_00400	lactoferrin-binding protein A
CP003909.1	260687	261313	-	CDS	gene	NGFG_00401	NGFG_00401	N-(5'-phosphoribosyl)anthranilate isomerase
CP003909.1	261372	261863	-	CDS	gene	NGFG_00402	NGFG_00402	transcription elongation factor greB
CP003909.1	261963	263507	-	CDS	gene	NGFG_00403	NGFG_00403	amidophosphoribosyltransferase
CP003909.1	263701	264198	-	CDS	gene	NGFG_00405	NGFG_00405	colicin V production membrane protein
CP003909.1	264191	265231	-	CDS	gene	NGFG_00406	NGFG_00406	cell division protein FtsN
CP003909.1	265245	266519	-	CDS	gene	NGFG_00407	NGFG_00407	FolC protein
CP003909.1	266550	266990	-	CDS	gene	NGFG_00408	NGFG_00408	transcriptional regulator FolI
CP003909.1	266995	267354	-	CDS	gene	NGFG_00409	NGFG_00409	hypothetical protein
CP003909.1	267427	268164	-	CDS	gene	NGFG_00410	NGFG_00410	polar amino acid ABC transporter ATP-binding protein
CP003909.1	268197	268766	-	CDS	gene	NGFG_00411	NGFG_00411	hypothetical protein
CP003909.1	268763	269332	-	CDS	gene	NGFG_00412	NGFG_00412	hypothetical protein
CP003909.1	269347	270126	-	CDS	gene	NGFG_00413	NGFG_00413	ribosomal RNA small subunit methyltransferase A
CP003909.1	270402	271031	+	CDS	gene	NGFG_00414	NGFG_00414	hypothetical protein
CP003909.1	271114	272316	+	CDS	gene	NGFG_00415	NGFG_00415	tryptophan synthase beta chain
CP003909.1	272392	276990	-	CDS	gene	NGFG_00416	NGFG_00416	IgA-specific serine endopeptidase autotransporter
CP003909.1	277376	279595	+	CDS	gene	NGFG_00417	NGFG_00417	competence protein ComA
CP003909.1	279665	280435	-	CDS	gene	NGFG_00418	NGFG_00418	competence lipoprotein ComL
CP003909.1	280467	281591	+	CDS	gene	NGFG_00419	NGFG_00419	ribosomal large subunit pseudouridine synthase D
CP003909.1	283145	283924	+	CDS	gene	NGFG_00422	NGFG_00422	hypothetical protein
CP003909.1	283976	284455	+	CDS	gene	NGFG_00423	NGFG_00423	rare lipoprotein B
CP003909.1	284457	285455	+	CDS	gene	NGFG_00424	NGFG_00424	DNA polymerase III%2C delta subunit
CP003909.1	285576	285995	+	CDS	gene	NGFG_00425	NGFG_00425	hypothetical protein
CP003909.1	286020	286586	+	CDS	gene	NGFG_00426	NGFG_00426	RDD family protein
CP003909.1	286677	287561	-	CDS	gene	NGFG_00427	NGFG_00427	hypothetical protein
CP003909.1	287751	288137	+	CDS	gene	NGFG_00428	NGFG_00428	UPF0114 protein
CP003909.1	288137	288235	+	CDS	gene	NGFG_00429	NGFG_00429	hypothetical protein
CP003909.1	288294	289157	-	CDS	gene	NGFG_00430	NGFG_00430	alternative sigma factor RpoH
CP003909.1	289421	290959	-	CDS	gene	NGFG_00432	NGFG_00432	apolipoprotein N-acyltransferase
CP003909.1	291029	291769	-	CDS	gene	NGFG_00433	NGFG_00433	hypothetical protein
CP003909.1	291964	293694	+	CDS	gene	NGFG_00435	NGFG_00435	cell volume regulation potassium/proton antiporter
CP003909.1	293691	294158	-	CDS	gene	NGFG_02280	NGFG_02280	cytochrome c
CP003909.1	294349	295359	-	CDS	gene	NGFG_02281	NGFG_02281	ferrochelatase
CP003909.1	295441	296556	-	CDS	gene	NGFG_00439	NGFG_00439	queuine tRNA-ribosyltransferase
CP003909.1	296864	298777	+	CDS	gene	NGFG_00440	NGFG_00440	threonyl-tRNA synthetase
CP003909.1	298912	299316	+	CDS	gene	NGFG_00441	NGFG_00441	translation initiation factor IF-3
CP003909.1	299463	299660	+	CDS	gene	NGFG_00442	NGFG_00442	50S ribosomal protein L35
CP003909.1	299673	300032	+	CDS	gene	NGFG_00443	NGFG_00443	50S ribosomal protein L20
CP003909.1	300273	301262	+	CDS	gene	NGFG_00444	NGFG_00444	phenylalanyl-tRNA synthetase alpha chain
CP003909.1	301279	301692	+	CDS	gene	NGFG_00445	NGFG_00445	DNA mismatch endonuclease Vsr
CP003909.1	301631	302032	+	CDS	gene	NGFG_00446	NGFG_00446	DNA (cytosine-5-)-methyltransferase
