locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	BlastHit	locustag_in_Nmen	GN_in_Nmen	type_in_Nmen	product_in_Nmen	locustag_in_FA1090	GN_in_FA1090	type_in_FA1090	product_in_FA1090
NGFG_00155		gene	protein-L-isoaspartate O-methyltransferase	"	Nmen	FA1090"	NMB1885		gene	protein-L-isoaspartate O-methyltransferase	NGO_0019		gene	protein-L-isoaspartate O-methyltransferase
NGFG_00156		gene	thiosulfate sulfurtransferase	"	Nmen	FA1090"	NMB1884		gene	sulfurtransferase	NGO_0020		gene	sulfurtransferase
NGFG_00157		gene	TonB-dependent siderophore receptor	"	Nmen	FA1090"	NMB1882		gene	TonB-dependent siderophore receptor	NGO_0021		gene	TonB-dependent siderophore receptor
NGFG_00158		gene	hypothetical protein	"	Nmen	FA1090"	NMB1881		gene	cupin domain-containing protein	NGO_0022		gene	cupin domain-containing protein
NGFG_00159		gene	iron chelate ABC transporter%2C periplasmic iron chelate-binding protein	"	Nmen	FA1090"	NMB1880		gene	siderophore ABC transporter substrate-binding protein	NGO_0023		gene	siderophore ABC transporter substrate-binding protein
NGFG_00160		gene	AraC family transcriptional regulator	"	Nmen	FA1090"	NMB1878		pseudogene	helix-turn-helix transcriptional regulator	NGO_0025		gene	AraC family transcriptional regulator
NGFG_00161		gene	prolyl oligopeptidase	"	Nmen	FA1090"	NMB1877		gene	S9 family peptidase	NGO_0026		gene	S9 family peptidase
NGFG_00162		gene	amino-acid acetyltransferase	"	Nmen	FA1090"	NMB1876	argA	gene	amino-acid N-acetyltransferase	NGO_0027	argA	gene	amino-acid N-acetyltransferase
NGFG_00163		gene	hypothetical protein	"	Nmen	FA1090"	NMB1875		gene	hypothetical protein	NGO_0028		gene	hypothetical protein
NGFG_00164		gene	orotate phosphoribosyltransferase	"	Nmen	FA1090"	NMB1874	pyrE	gene	orotate phosphoribosyltransferase	NGO_0029	pyrE	gene	orotate phosphoribosyltransferase
NGFG_00165		gene	uracil-DNA glycosylase%2C family 4	"	Nmen	FA1090"	NMB1873		gene	uracil-DNA glycosylase family protein	NGO_0030		gene	uracil-DNA glycosylase family protein
NGFG_00166		gene	ribosomal-protein-alanine acetyltransferase	"	Nmen	FA1090"	NMB1872	rimI	gene	ribosomal protein S18-alanine N-acetyltransferase	NGO_0031	rimI	gene	ribosomal protein S18-alanine N-acetyltransferase
NGFG_00167		gene	glycoprotease	"	Nmen	FA1090"	NMB1871	tsaB	gene	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	NGO_0032	tsaB	gene	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
NGFG_00168		pseudogene		"	FA1090"					NGO_0033		gene	lipoprotein
NGFG_00169		gene	fructose-bisphosphate aldolase	"	Nmen	FA1090"	NMB1869		gene	fructose-bisphosphate aldolase class II	NGO_0034		gene	fructose-bisphosphate aldolase class II
NGFG_00170	xerC	gene	tyrosine recombinase xerC	"	Nmen	FA1090"	NMB1868	xerC	gene	tyrosine recombinase XerC	NGO_0035	xerC	gene	tyrosine recombinase XerC
NGFG_00171		gene	1-deoxy-D-xylulose-5-phosphate synthase	"	Nmen	FA1090"	NMB1867	dxs	gene	1-deoxy-D-xylulose-5-phosphate synthase	NGO_0036	dxs	gene	1-deoxy-D-xylulose-5-phosphate synthase
NGFG_00172	miaB	gene	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB	"	Nmen	FA1090"	NMB1866	miaB	gene	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	NGO_0037	miaB	gene	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
NGFG_02254		gene	hypothetical protein	"	Nmen	FA1090"			pseudogene	glucosamine-fructose-6-phosphate aminotransferase			pseudogene	glucosamine-fructose-6-phosphate aminotransferase
NGFG_02255		gene	hypothetical protein	"	Nmen	FA1090"			gene	hypothetical protein			gene	glucosamine-fructose-6-phosphate aminotransferase
NGFG_00174		gene	glutamate-1-semialdehyde 2%2C1-aminomutase	"	Nmen	FA1090"	NMB1864	hemL	gene	glutamate-1-semialdehyde 2%2C1-aminomutase	NGO_0040	hemL	gene	glutamate-1-semialdehyde 2%2C1-aminomutase
NGFG_02256		pseudogene		"	Nmen	FA1090"	NMB1736		gene	IS630 family transposase	NGO_0040a		gene	transposase
NGFG_00175		gene	oligoribonuclease	"	Nmen	FA1090"	NMB1863	orn	gene	oligoribonuclease	NGO_0042	orn	gene	oligoribonuclease
NGFG_00176		gene	ribosomal protein L11 methyltransferase	"	Nmen	FA1090"	NMB1862	prmA	gene	50S ribosomal protein L11 methyltransferase	NGO_0043	prmA	gene	50S ribosomal protein L11 methyltransferase
NGFG_00177		gene	biotin carboxylase	"	Nmen	FA1090"	NMB1861	accC	gene	acetyl-CoA carboxylase biotin carboxylase subunit	NGO_0044	accC	gene	acetyl-CoA carboxylase biotin carboxylase subunit
NGFG_00178		gene	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein	"	Nmen	FA1090"	NMB1860		gene	acetyl-CoA carboxylase biotin carboxyl carrier protein	NGO_0045		gene	acetyl-CoA carboxylase biotin carboxyl carrier protein
NGFG_00180		gene	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	"	Nmen	FA1090"	NMB1859	queA	gene	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	NGO_0047	queA	gene	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
NGFG_00181		gene	carbamoyl-phosphate synthase large chain	"	Nmen	FA1090"	NMB1855	carB	gene	carbamoyl-phosphate synthase large subunit	NGO_0048	carB	gene	carbamoyl-phosphate synthase large subunit
NGFG_00182		gene	hypothetical protein	""								
NGFG_00183		gene	hypothetical protein	""								
NGFG_00184		gene	DNA (Cytosine-5-)-methyltransferase	"	Nmen	FA1090"	NMB1852		gene	DUF559 domain-containing protein	NGO_0050		gene	DUF559 domain-containing protein
NGFG_00186		gene	glyoxalase	"	Nmen	FA1090"			gene	glyoxalase	NGO_0050a		pseudogene	VOC family protein
NGFG_00187		gene	carbamoyl-phosphate synthase small chain	"	Nmen	FA1090"	NMB1849	carA	gene	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	NGO_0053	carA	gene	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
NGFG_00188		pseudogene		"	Nmen	FA1090"	NMB0049		gene	pilus assembly protein	NGO_0055	pilC	gene	pilus assembly/adherence protein PilC
NGFG_02257		gene	hypothetical protein	""								
NGFG_00189		gene	chromosome partitioning ATPase	"	Nmen	FA1090"	NMB1846	apbC	gene	iron-sulfur cluster carrier protein ApbC	NGO_0056	apbC	gene	iron-sulfur cluster carrier protein ApbC
NGFG_06001		tRNA	tRNA-Lys	""								
NGFG_00190		gene	thioredoxin	"	Nmen	FA1090"	NMB1845		gene	protein disulfide oxidoreductase	NGO_0057		gene	protein disulfide oxidoreductase
NGFG_00192	hpaR	gene	homoprotocatechuate degradation operon regulator%2C HpaR	"	Nmen	FA1090"	NMB1843	nadR	gene	MarR family adhesin repressor NadR	NGO_0058	nadR	gene	MarR family adhesin repressor NadR
NGFG_00193		gene	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	"	Nmen	FA1090"	NMB1842	hpaC	gene	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	NGO_0059	hpaC	gene	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component
NGFG_00194		gene	sugar-phosphate transferase	"	Nmen	FA1090"	NMB1841		gene	nucleotidyltransferase family protein	NGO_0060		gene	nucleotidyltransferase family protein
NGFG_00195		gene	membrane protein	"	Nmen	FA1090"	NMB1840		gene	EamA family transporter	NGO_0060a		gene	EamA family transporter
NGFG_00196		gene	formate-tetrahydrofolate ligase	"	Nmen	FA1090"	NMB1839		gene	formate--tetrahydrofolate ligase	NGO_0062		gene	formate--tetrahydrofolate ligase
NGFG_00197	ychF	gene	GTP-binding protein YchF	"	Nmen	FA1090"	NMB1838	ychF	gene	redox-regulated ATPase YchF	NGO_0063	ychF	gene	redox-regulated ATPase YchF
NGFG_00199	wbpC	gene	lipopolysaccharide biosynthesis protein WbpC	"	Nmen	FA1090"	NMB1836		gene	acyltransferase	NGO_0065		gene	acyltransferase
NGFG_00200		gene	tyrosyl-tRNA synthetase	"	Nmen	FA1090"	NMB1835	tyrS	gene	tyrosine--tRNA ligase	NGO_0066	tyrS	gene	tyrosine--tRNA ligase
NGFG_02258		gene	opacity protein	"	Nmen	FA1090"	NMB1636		gene	outer membrane beta-barrel protein	NGO_0950a		pseudogene	outer membrane beta-barrel protein
NGFG_00203	ribF	gene	riboflavin biosynthesis protein RibF	"	Nmen	FA1090"	NMB1834	ribF	gene	bifunctional riboflavin kinase/FAD synthetase	NGO_0068	ribF	gene	bifunctional riboflavin kinase/FAD synthetase
NGFG_00204		gene	isoleucyl-tRNA synthetase	"	Nmen	FA1090"	NMB1833	ileS	gene	isoleucine--tRNA ligase	NGO_0069	ileS	gene	isoleucine--tRNA ligase
NGFG_02259		gene	opacity protein	"	Nmen	FA1090"	NMB1636		gene	outer membrane beta-barrel protein	NGO_1073a		gene	outer membrane beta-barrel protein
NGFG_00207		gene	lipoprotein signal peptidase	"	Nmen	FA1090"	NMB1832		gene	lipoprotein signal peptidase	NGO_0071	lspA	gene	lipoprotein signal peptidase
NGFG_00208		gene	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	"	Nmen	FA1090"	NMB1831	ispH	gene	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	NGO_0072	ispH	gene	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NGFG_02260		gene	transposase	"	FA1090"					NGO_0072a		gene	transposase
NGFG_00209		gene	phosphoglycolate phosphatase	"	Nmen	FA1090"	NMB1830		gene	HAD family hydrolase	NGO_0073		gene	HAD-IA family hydrolase
NGFG_02261		pseudogene		"	FA1090"					NGO_00400		pseudogene	TonB-dependent receptor
NGFG_00213		pseudogene		"	Nmen	FA1090"	NMB1828		gene	alpha/beta hydrolase	NGO_0076		gene	hypothetical protein
NGFG_00214		gene	DNA polymerase III subunit alpha	"	Nmen	FA1090"	NMB1827	dnaE	gene	DNA polymerase III subunit alpha	NGO_0078	dnaE	gene	DNA polymerase III subunit alpha
NGFG_00217		gene	ribosome-associated protein	"	Nmen	FA1090"	NMB1826		gene	RNA-binding S4 domain-containing protein	NGO_0079		gene	RNA-binding S4 domain-containing protein
NGFG_00218		gene	hypothetical protein	"	Nmen	FA1090"	NMB1825		gene	hypothetical protein	NGO_0080		gene	hypothetical protein
NGFG_00219		gene	PHP domain protein	"	Nmen	FA1090"	NMB1824		gene	PHP domain-containing protein	NGO_0081		gene	PHP domain-containing protein
NGFG_00220		gene	valine-pyruvate aminotransferase	"	Nmen	FA1090"	NMB1823		gene	valine--pyruvate transaminase	NGO_0082		gene	valine--pyruvate transaminase
NGFG_00221	pglD	gene	pilin glycosylation protein PglD	"	Nmen	FA1090"	NMB1822	pglD	gene	NADH-dependent dehydratase PglD	NGO_0083		gene	polysaccharide biosynthesis protein
NGFG_00222	pglC	gene	pilin glycosylation protein PglC	"	Nmen	FA1090"	NMB1821		gene	DegT/DnrJ/EryC1/StrS aminotransferase family protein	NGO_0084		gene	DegT/DnrJ/EryC1/StrS aminotransferase family protein
NGFG_00223	pglB	gene	pilin glycosylation protein PglB	"	Nmen	FA1090"	NMB1820		gene	NeuD/PglB/VioB family sugar acetyltransferase	NGO_0085		gene	NeuD/PglB/VioB family sugar acetyltransferase
NGFG_00224		gene	lipopolysaccharide biosynthesis translocase	"	Nmen	FA1090"	NMB1818		gene	lipopolysaccharide biosynthesis protein	NGO_0088		gene	lipopolysaccharide biosynthesis protein
NGFG_00225	ribD	gene	riboflavin biosynthesis protein RibD	"	Nmen	FA1090"	NMB1817	ribD	gene	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	NGO_0089	ribD	gene	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
NGFG_00226	nrdR	gene	transcriptional repressor NrdR	"	Nmen	FA1090"	NMB1816	nrdR	gene	transcriptional repressor NrdR	NGO_0090	nrdR	gene	transcriptional repressor NrdR
NGFG_00227		gene	glutamine amidotransferase	"	Nmen	FA1090"	NMB1815		gene	class II glutamine amidotransferase	NGO_0091		gene	class II glutamine amidotransferase
NGFG_00230		gene	3-dehydroquinate synthase	"	Nmen	FA1090"	NMB1814	aroB	gene	3-dehydroquinate synthase	NGO_0092	aroB	gene	3-dehydroquinate synthase
NGFG_00231		gene	shikimate kinase	"	Nmen	FA1090"	NMB1813		gene	shikimate kinase	NGO_0093		gene	shikimate kinase
NGFG_00232	pilQ	gene	type IV pilus biogenesis and competence protein pilQ	"	Nmen	FA1090"	NMB1812	pilQ	gene	type IV pilus secretin PilQ	NGO_0094	pilQ	gene	type IV pilus secretin PilQ
NGFG_00233	pilP	gene	type IV pilus assembly protein PilP	"	Nmen	FA1090"	NMB1811	pilP	gene	pilus assembly protein PilP	NGO_0095	pilP	gene	pilus assembly protein PilP
NGFG_00234	pilO	gene	type IV pilus assembly protein PilO	"	Nmen	FA1090"	NMB1810	pilO	gene	type 4a pilus biogenesis protein PilO	NGO_0096	pilO	gene	type 4a pilus biogenesis protein PilO
NGFG_00235	pilN	gene	type IV pilus assembly protein PilN	"	Nmen	FA1090"	NMB1809		gene	PilN domain-containing protein	NGO_0097		gene	PilN domain-containing protein
NGFG_00236	pilM	gene	type IV pilus assembly protein PilM	"	Nmen	FA1090"	NMB1808	pilM	gene	pilus assembly protein PilM	NGO_0098	pilM	gene	pilus assembly protein PilM
NGFG_00237		gene	penicillin-binding protein 1A	"	Nmen	FA1090"	NMB1807		gene	penicillin-binding protein 1A	NGO_0099		gene	penicillin-binding protein 1A
NGFG_00238	ysxC	gene	ribosome biogenesis GTP-binding protein YsxC	"	Nmen	FA1090"	NMB1806		gene	YihA family ribosome biogenesis GTP-binding protein	NGO_0100		gene	YihA family ribosome biogenesis GTP-binding protein
NGFG_00239		gene	cytochrome c	"	Nmen	FA1090"	NMB1805		gene	cytochrome c4	NGO_0101		gene	cytochrome c4
NGFG_00240		gene	cytochrome c biogenesis protein	"	Nmen	FA1090"	NMB1804		gene	cytochrome c biogenesis protein	NGO_0102		gene	cytochrome c biogenesis protein
NGFG_00241	ccsB	gene	cytochrome c-type biogenesis protein CcsB	"	Nmen	FA1090"	NMB1803	ccsB	gene	c-type cytochrome biogenesis protein CcsB	NGO_0103	ccsB	gene	c-type cytochrome biogenesis protein CcsB
NGFG_00242		gene	glycoprotease/Kae1 family metallohydrolase	"	Nmen	FA1090"	NMB1802	tsaD	gene	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	NGO_0104	tsaD	gene	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
NGFG_00243		gene	lipid A biosynthesis lauroyl acyltransferase	"	Nmen	FA1090"	NMB1801		gene	lysophospholipid acyltransferase family protein	NGO_0105		gene	lysophospholipid acyltransferase family protein
NGFG_00245		gene	S-adenosylmethionine synthase	"	Nmen	FA1090"	NMB1799		gene	methionine adenosyltransferase	NGO_0106		gene	methionine adenosyltransferase
NGFG_00246		gene	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	"	Nmen	FA1090"	NMB1797	dacB	gene	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	NGO_0107	dacB	gene	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
NGFG_00247		gene	oxidoreductase	"	Nmen	FA1090"	NMB1796		gene	NAD(P)H-dependent oxidoreductase	NGO_0108		pseudogene	NAD(P)H-dependent oxidoreductase
NGFG_00249		gene	citrate transporter	"	Nmen	FA1090"	NMB1794		gene	CitMHS family transporter	NGO_0110		gene	CitMHS family transporter
NGFG_00250		gene	two-component system%2C OmpR family%2C response regulator	"	FA1090"					NGO_0110a		pseudogene	response regulator
NGFG_00251	qseC	gene	two-component system%2C OmpR family%2C sensor kinase QseC	"	Nmen	FA1090"			gene	HAMP domain-containing histidine kinase	NGO_0112		gene	two-component sensor histidine kinase
NGFG_00252		gene	cytoplasmic axial filament protein	"	Nmen	FA1090"	NMB1791	rng	gene	ribonuclease G	NGO_0113	rng	gene	ribonuclease G
NGFG_00253		gene	glutaredoxin	"	Nmen	FA1090"	NMB1790	grxC	gene	glutaredoxin 3	NGO_0114	grxC	gene	glutaredoxin 3
NGFG_00254	secB	gene	protein-export protein secB	"	Nmen	FA1090"	NMB1789	secB	gene	protein-export chaperone SecB	NGO_0116	secB	gene	protein-export chaperone SecB
NGFG_00255	recG	gene	ATP-dependent DNA helicase RecG	"	Nmen	FA1090"	NMB1788	recG	gene	ATP-dependent DNA helicase RecG	NGO_0117	recG	gene	ATP-dependent DNA helicase RecG
NGFG_00256		gene	N-acetyl-gamma-glutamyl-phosphate reductase	"	Nmen	FA1090"	NMB1787		gene	N-acetyl-gamma-glutamyl-phosphate reductase	NGO_0118		gene	N-acetyl-gamma-glutamyl-phosphate reductase
NGFG_00257		gene	hypothetical protein	"	Nmen	FA1090"			pseudogene	hypothetical protein	NGO_0119		gene	hypothetical protein
NGFG_00259		gene	Cupin family protein	"	Nmen	FA1090"	NMB1786		gene	cupin domain-containing protein	NGO_0121		gene	cupin domain-containing protein
NGFG_00260		gene	hypothetical protein	"	Nmen	FA1090"	NMB1785		gene	hypothetical protein	NGO_00655		gene	hypothetical protein
NGFG_00262		gene	Colicin V secretion protein	"	Nmen	FA1090"			gene	HlyD family efflux transporter periplasmic adaptor subunit	NGO_0123		gene	HlyD family efflux transporter periplasmic adaptor subunit
NGFG_00263		gene	hypothetical protein	"	FA1090"					NGO_0124		gene	hypothetical protein
NGFG_00264		gene	hypothetical protein	"	FA1090"					NGO_0125		gene	hypothetical protein
NGFG_00265		pseudogene		"	FA1090"					NGO_0125a		gene	ATP-binding cassette domain-containing protein
NGFG_00266	brkB	gene	virulence factor BrkB	"	Nmen	FA1090"	NMB0524		gene	YihY family inner membrane protein	NGO_0127		gene	YihY family inner membrane protein
NGFG_02262		gene	Trp repressor binding protein	"	Nmen	FA1090"			pseudogene	NAD(P)H-quinone oxidoreductase			pseudogene	NAD(P)H-quinone oxidoreductase
NGFG_00267	queC	gene	queuosine biosynthesis protein QueC	"	Nmen	FA1090"	NMB0525	queC	gene	7-cyano-7-deazaguanine synthase QueC	NGO_0129	queC	gene	7-cyano-7-deazaguanine synthase QueC
NGFG_00268		gene	hypothetical protein	"	Nmen	FA1090"	NMB0526		gene	DUF1543 domain-containing protein	NGO_0130		gene	DUF1543 domain-containing protein
NGFG_00269	queD	gene	queuosine biosynthesis protein QueD	"	Nmen	FA1090"	NMB0527	queD	gene	6-carboxytetrahydropterin synthase QueD	NGO_0131	queD	gene	6-carboxytetrahydropterin synthase QueD
NGFG_00270		gene	membrane protein	"	Nmen	FA1090"	NMB0528		gene	DUF1304 domain-containing protein	NGO_00715		pseudogene	DUF1304 domain-containing protein
NGFG_00271		gene	hypothetical protein	"	Nmen	FA1090"	NMB0529	queE	gene	7-carboxy-7-deazaguanine synthase QueE	NGO_0132	queE	gene	7-carboxy-7-deazaguanine synthase QueE
NGFG_06002		tRNA	tRNA-Pro	""								
NGFG_00272		gene	beta-N-acetylhexosaminidase	"	Nmen	FA1090"	NMB0530	nagZ	gene	beta-N-acetylhexosaminidase	NGO_0135	nagZ	gene	beta-N-acetylhexosaminidase
NGFG_00273		gene	Na+:H+ antiporter	"	Nmen	FA1090"	NMB0531		gene	Na+/H+ antiporter NhaC family protein	NGO_0136		gene	Na+/H+ antiporter NhaC family protein
NGFG_00275		gene	peptidase Do	"	Nmen	FA1090"	NMB0532		gene	DegQ family serine endoprotease	NGO_0138		gene	DegQ family serine endoprotease
NGFG_00276		gene	endonuclease III	"	Nmen	FA1090"	NMB0533	nth	gene	endonuclease III	NGO_0139	nth	gene	endonuclease III
NGFG_00277		gene	membrane protein	"	Nmen	FA1090"	NMB0534		gene	DedA family protein	NGO_0140		gene	DedA family protein
NGFG_02263		gene	glucose/galactose transporter warning	"	Nmen	FA1090"	NMB0535		gene	sugar MFS transporter	NGO_0142		gene	sugar MFS transporter
NGFG_00281	nhaC	gene	Na+/H+ antiporter NhaC	"	Nmen	FA1090"	NMB0536	nhaC	gene	Na+/H+ antiporter NhaC	NGO_0143	nhaC	gene	Na+/H+ antiporter NhaC
NGFG_00282		gene	magnesium and cobalt transporter	"	Nmen	FA1090"	NMB0537		gene	HlyC/CorC family transporter	NGO_0144		gene	CBS domain-containing protein
NGFG_00283		gene	rRNA maturation factor	"	Nmen	FA1090"	NMB0538	ybeY	gene	rRNA maturation RNase YbeY	NGO_0145	ybeY	gene	rRNA maturation RNase YbeY
NGFG_00284		gene	porphobilinogen deaminase	"	Nmen	FA1090"	NMB0539	hemC	gene	hydroxymethylbilane synthase	NGO_0146	hemC	gene	hydroxymethylbilane synthase
NGFG_02264		gene	hypothetical protein	""								
NGFG_02265		gene	hypothetical protein	"	Nmen	FA1090"	NMB1736		gene	IS630 family transposase	NGO_00200		gene	transposase
NGFG_00286		gene	FAD-binding protein	"	FA1090"					NGO_0147		gene	tryptophan 7-halogenase
NGFG_00287		gene	ATP-dependent RNA helicase	"	Nmen	FA1090"	NMB1422		gene	DEAD/DEAH box helicase	NGO_0149		gene	DEAD/DEAH box helicase
NGFG_00289		gene	tRNA-dihydrouridine synthase B	"	Nmen	FA1090"	NMB1421	dusB	gene	tRNA dihydrouridine synthase DusB	NGO_0151	dusB	gene	tRNA dihydrouridine synthase DusB
NGFG_00291		gene	fis family transcriptional regulator%2C factor for inversion stimulation protein	"	Nmen	FA1090"	NMB1420		gene	Fis family transcriptional regulator	NGO_0152		gene	Fis family transcriptional regulator
NGFG_00292	ruvC	gene	crossover junction endodeoxyribonuclease ruvC	"	Nmen	FA1090"	NMB1419	ruvC	gene	crossover junction endodeoxyribonuclease RuvC	NGO_0153	ruvC	gene	crossover junction endodeoxyribonuclease RuvC
NGFG_00293		gene	lipid A biosynthesis lauroyl acyltransferase	"	Nmen	FA1090"	NMB1418		gene	lipid A biosynthesis lauroyl acyltransferase	NGO_0154		gene	lipid A biosynthesis lauroyl acyltransferase
NGFG_00295		gene	hypothetical protein	"	Nmen	FA1090"	NMB1417		gene	3'-5' exonuclease	NGO_0156		gene	3'-5' exonuclease
NGFG_00297		gene	aminopeptidase N	"	Nmen	FA1090"	NMB1416	pepN	gene	aminopeptidase N	NGO_0158	pepN	gene	aminopeptidase N
NGFG_02266		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0528		gene	IS1595 family transposase
NGFG_00300		gene	hypothetical protein	"	FA1090"							gene	hypothetical protein
NGFG_00301		gene	hypothetical protein	"	Nmen	FA1090"	NMB0859		gene	hypothetical protein	NGO_0163		gene	hypothetical protein
NGFG_00302		gene	hypothetical protein	"	Nmen	FA1090"	NMB0860		gene	hypothetical protein	NGO_0164		gene	hypothetical protein
NGFG_00303		gene	hypothetical protein	"	Nmen	FA1090"	NMB0861		gene	hypothetical protein	NGO_0165		gene	hypothetical protein
NGFG_00304		gene	hypothetical protein	"	Nmen	FA1090"	NMB0866		gene	hypothetical protein	NGO_0166		gene	hypothetical protein
NGFG_00305		gene	zinc/manganese ABC transporter substrate-binding protein	"	Nmen	FA1090"	NMB0586		gene	metal ABC transporter substrate-binding protein	NGO_0168		gene	zinc ABC transporter substrate-binding protein
NGFG_00306		gene	zinc/manganese ABC transporter permease	"	Nmen	FA1090"	NMB0587		gene	metal ABC transporter permease	NGO_0169		gene	metal ABC transporter permease
NGFG_00307		gene	zinc/manganese ABC transporter ATP-binding protein	"	Nmen	FA1090"	NMB0588		gene	metal ABC transporter ATP-binding protein	NGO_0170		gene	metal ABC transporter ATP-binding protein
NGFG_00308		gene	50S ribosomal protein L19	"	Nmen	FA1090"	NMB0589	rplS	gene	50S ribosomal protein L19	NGO_0171	rplS	gene	50S ribosomal protein L19
NGFG_00309		gene	tRNA (guanine-N(1)-)-methyltransferase	"	Nmen	FA1090"	NMB0590	trmD	gene	tRNA (guanosine(37)-N1)-methyltransferase TrmD	NGO_0172	trmD	gene	tRNA (guanosine(37)-N1)-methyltransferase TrmD
NGFG_00310	rimM	gene	ribosome maturation factor rimM	"	Nmen	FA1090"	NMB0591	rimM	gene	ribosome maturation factor RimM	NGO_0173	rimM	gene	ribosome maturation factor RimM
NGFG_00311		gene	30S ribosomal protein S16	"	Nmen	FA1090"	NMB0592	rpsP	gene	30S ribosomal protein S16	NGO_0174	rpsP	gene	30S ribosomal protein S16
NGFG_00312		pseudogene		"	Nmen	FA1090"	NMB0593		gene	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase	NGO_0174a		pseudogene	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase
