locustag_in_Ngo	gene	gene_takenfrom	locustag_in_Nmen	locustag_in_FA1090	product_in_Ngo	product_in_Nmen	product_in_FA1090
NGFG_00159			NMB1880	NGO_0023	iron chelate ABC transporter%2C periplasmic iron chelate-binding protein	siderophore ABC transporter substrate-binding protein	siderophore ABC transporter substrate-binding protein
NGFG_00160			NMB1878	NGO_0025	AraC family transcriptional regulator	helix-turn-helix transcriptional regulator	AraC family transcriptional regulator
NGFG_00161			NMB1877	NGO_0026	prolyl oligopeptidase	S9 family peptidase	S9 family peptidase
NGFG_00162	argA	Nmen_FA1090_fromgene	NMB1876	NGO_0027	amino-acid acetyltransferase	amino-acid N-acetyltransferase	amino-acid N-acetyltransferase
NGFG_00163			NMB1875	NGO_0028	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00164	pyrE	Nmen_FA1090_fromgene	NMB1874	NGO_0029	orotate phosphoribosyltransferase	orotate phosphoribosyltransferase	orotate phosphoribosyltransferase
NGFG_00165			NMB1873	NGO_0030	uracil-DNA glycosylase%2C family 4	uracil-DNA glycosylase family protein	uracil-DNA glycosylase family protein
NGFG_00166	rimI	Nmen_FA1090_fromgene	NMB1872	NGO_0031	ribosomal-protein-alanine acetyltransferase	ribosomal protein S18-alanine N-acetyltransferase	ribosomal protein S18-alanine N-acetyltransferase
NGFG_00167	tsaB	Nmen_FA1090_fromgene	NMB1871	NGO_0032	glycoprotease	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
NGFG_00168			NMB1870	NGO_0033		factor H binding family protein	lipoprotein
NGFG_00169			NMB1869	NGO_0034	fructose-bisphosphate aldolase	fructose-bisphosphate aldolase class II	fructose-bisphosphate aldolase class II
NGFG_00170	xerC	Nmen_FA1090_fromgene	NMB1868	NGO_0035	tyrosine recombinase xerC	tyrosine recombinase XerC	tyrosine recombinase XerC
NGFG_00171	dxs	Nmen_FA1090_fromgene	NMB1867	NGO_0036	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase
NGFG_00172	miaB	Nmen_FA1090_fromgene	NMB1866	NGO_0037	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
NGFG_02254					hypothetical protein	glucosamine-fructose-6-phosphate aminotransferase	glucosamine-fructose-6-phosphate aminotransferase
NGFG_02255					hypothetical protein	hypothetical protein	glucosamine-fructose-6-phosphate aminotransferase
NGFG_00174	hemL	Nmen_FA1090_fromgene	NMB1864	NGO_0040	glutamate-1-semialdehyde 2%2C1-aminomutase	glutamate-1-semialdehyde 2%2C1-aminomutase	glutamate-1-semialdehyde 2%2C1-aminomutase
NGFG_02256			 | NMB1736 | 	 | NGO_00195 | NGO_00200		 | IS630 family transposase | IS630 family transposase	 | transposase | transposase
NGFG_00175	orn	Nmen_FA1090_fromgene	NMB1863	NGO_0042	oligoribonuclease	oligoribonuclease	oligoribonuclease
NGFG_00176	prmA	Nmen_FA1090_fromgene	NMB1862	NGO_0043	ribosomal protein L11 methyltransferase	50S ribosomal protein L11 methyltransferase	50S ribosomal protein L11 methyltransferase
NGFG_00177	accC	Nmen_FA1090_fromgene	NMB1861	NGO_0044	biotin carboxylase	acetyl-CoA carboxylase biotin carboxylase subunit	acetyl-CoA carboxylase biotin carboxylase subunit
NGFG_00178			NMB1860	NGO_0045	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein	acetyl-CoA carboxylase biotin carboxyl carrier protein	acetyl-CoA carboxylase biotin carboxyl carrier protein
NGFG_00180	queA	Nmen_FA1090_fromgene	NMB1859	NGO_0047	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
NGFG_00181	carB	Nmen_FA1090_fromgene	NMB1855	NGO_0048	carbamoyl-phosphate synthase large chain	carbamoyl-phosphate synthase large subunit	carbamoyl-phosphate synthase large subunit
NGFG_00182					hypothetical protein		
NGFG_00183					hypothetical protein		
NGFG_00184			NMB1852	NGO_0050	DNA (Cytosine-5-)-methyltransferase	DUF559 domain-containing protein	DUF559 domain-containing protein
NGFG_00186				NGO_00260	glyoxalase	glyoxalase	VOC family protein
NGFG_00187	carA	Nmen_FA1090_fromgene	NMB1849	NGO_0053	carbamoyl-phosphate synthase small chain	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
NGFG_00188	pilC	FA1090_fromproduct	NMB0049	NGO_0055		pilus assembly protein	pilus assembly/adherence protein PilC
NGFG_02257					hypothetical protein		
NGFG_00189	apbC	Nmen_FA1090_fromgene	NMB1846	NGO_0056	chromosome partitioning ATPase	iron-sulfur cluster carrier protein ApbC	iron-sulfur cluster carrier protein ApbC
NGFG_06001			NMBt01	NGO_t02	tRNA-Lys	tRNA-Lys	tRNA-Lys
NGFG_00190			NMB1845	NGO_0057	thioredoxin	protein disulfide oxidoreductase	protein disulfide oxidoreductase
NGFG_00192	nadR	Nmen_FA1090_fromgene	NMB1843	NGO_0058	homoprotocatechuate degradation operon regulator%2C HpaR	MarR family adhesin repressor NadR	MarR family adhesin repressor NadR
NGFG_00193	hpaC	Nmen_FA1090_fromgene	NMB1842	NGO_0059	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component
NGFG_00194			NMB1841	NGO_0060	sugar-phosphate transferase	nucleotidyltransferase family protein	nucleotidyltransferase family protein
NGFG_00195			NMB1840	NGO_00320	membrane protein	EamA family transporter	EamA family transporter
NGFG_00196			NMB1839	NGO_0062	formate-tetrahydrofolate ligase	formate--tetrahydrofolate ligase	formate--tetrahydrofolate ligase
NGFG_00197	ychF	Nmen_FA1090_fromgene	NMB1838	NGO_0063	GTP-binding protein YchF	redox-regulated ATPase YchF	redox-regulated ATPase YchF
NGFG_00199			NMB1836	NGO_0065	lipopolysaccharide biosynthesis protein WbpC	acyltransferase	acyltransferase
NGFG_00200	tyrS	Nmen_FA1090_fromgene	NMB1835	NGO_0066	tyrosyl-tRNA synthetase	tyrosine--tRNA ligase	tyrosine--tRNA ligase
NGFG_02258			NMB1636	NGO_04980	opacity protein	outer membrane beta-barrel protein	outer membrane beta-barrel protein
NGFG_00203	ribF	Nmen_FA1090_fromgene	NMB1834	NGO_0068	riboflavin biosynthesis protein RibF	bifunctional riboflavin kinase/FAD synthetase	bifunctional riboflavin kinase/FAD synthetase
NGFG_00204	ileS	Nmen_FA1090_fromgene	NMB1833	NGO_0069	isoleucyl-tRNA synthetase	isoleucine--tRNA ligase	isoleucine--tRNA ligase
NGFG_02259			NMB1636	NGO_05620	opacity protein	outer membrane beta-barrel protein	outer membrane beta-barrel protein
NGFG_00207	lspA	FA1090_fromgene	NMB1832	NGO_0071	lipoprotein signal peptidase	lipoprotein signal peptidase	lipoprotein signal peptidase
NGFG_00208	ispH	Nmen_FA1090_fromgene	NMB1831	NGO_0072	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NGFG_02260			NMB0919	NGO_00385	transposase	IS5 family transposase	transposase
NGFG_00209			NMB1830	NGO_0073	phosphoglycolate phosphatase	HAD family hydrolase	HAD-IA family hydrolase
NGFG_02261			NMB1829	NGO_00400		TonB-dependent siderophore receptor	TonB-dependent receptor
NGFG_00213			NMB1828	 | NGO_0076 | NGO_0077		alpha/beta hydrolase	 | hypothetical protein | alpha/beta hydrolase
NGFG_00214	dnaE	Nmen_FA1090_fromgene	NMB1827	NGO_0078	DNA polymerase III subunit alpha	DNA polymerase III subunit alpha	DNA polymerase III subunit alpha
NGFG_00217			NMB1826	NGO_0079	ribosome-associated protein	RNA-binding S4 domain-containing protein	RNA-binding S4 domain-containing protein
NGFG_00218			NMB1825	NGO_0080	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00219			NMB1824	NGO_0081	PHP domain protein	PHP domain-containing protein	PHP domain-containing protein
NGFG_00220			NMB1823	NGO_0082	valine-pyruvate aminotransferase	valine--pyruvate transaminase	valine--pyruvate transaminase
NGFG_00221	pglD	Nmen_fromgene	NMB1822	NGO_0083	pilin glycosylation protein PglD	NADH-dependent dehydratase PglD	polysaccharide biosynthesis protein
NGFG_00222			NMB1821	NGO_0084	pilin glycosylation protein PglC	DegT/DnrJ/EryC1/StrS aminotransferase family protein	DegT/DnrJ/EryC1/StrS aminotransferase family protein
NGFG_00223			NMB1820	NGO_0085	pilin glycosylation protein PglB	NeuD/PglB/VioB family sugar acetyltransferase	NeuD/PglB/VioB family sugar acetyltransferase
NGFG_00224			NMB1818	NGO_0088	lipopolysaccharide biosynthesis translocase	lipopolysaccharide biosynthesis protein	lipopolysaccharide biosynthesis protein
NGFG_00225	ribD	Nmen_FA1090_fromgene	NMB1817	NGO_0089	riboflavin biosynthesis protein RibD	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
NGFG_00226	nrdR	Nmen_FA1090_fromgene	NMB1816	NGO_0090	transcriptional repressor NrdR	transcriptional repressor NrdR	transcriptional repressor NrdR
NGFG_00227			NMB1815	NGO_0091	glutamine amidotransferase	class II glutamine amidotransferase	class II glutamine amidotransferase
NGFG_00230	aroB	Nmen_FA1090_fromgene	NMB1814	NGO_0092	3-dehydroquinate synthase	3-dehydroquinate synthase	3-dehydroquinate synthase
NGFG_00231			NMB1813	NGO_0093	shikimate kinase	shikimate kinase	shikimate kinase
NGFG_00232	pilQ	Nmen_FA1090_fromproduct	NMB1812	NGO_0094	type IV pilus biogenesis and competence protein pilQ	type IV pilus secretin PilQ	type IV pilus secretin PilQ
NGFG_00233	pilP	Nmen_FA1090_fromproduct	NMB1811	NGO_0095	type IV pilus assembly protein PilP	pilus assembly protein PilP	pilus assembly protein PilP
NGFG_00234	pilO	FA1090_fromgene	NMB1810	NGO_0096	type IV pilus assembly protein PilO	type 4a pilus biogenesis protein PilO	type 4a pilus biogenesis protein PilO
NGFG_00235			NMB1809	NGO_0097	type IV pilus assembly protein PilN	PilN domain-containing protein	PilN domain-containing protein
NGFG_00236	pilM	Nmen_FA1090_fromproduct	NMB1808	NGO_0098	type IV pilus assembly protein PilM	pilus assembly protein PilM	pilus assembly protein PilM
NGFG_00237			NMB1807	NGO_0099	penicillin-binding protein 1A	penicillin-binding protein 1A	penicillin-binding protein 1A
NGFG_00238			NMB1806	NGO_0100	ribosome biogenesis GTP-binding protein YsxC	YihA family ribosome biogenesis GTP-binding protein	YihA family ribosome biogenesis GTP-binding protein
NGFG_00239			NMB1805	NGO_0101	cytochrome c	cytochrome c4	cytochrome c4
NGFG_00240			NMB1804	NGO_0102	cytochrome c biogenesis protein	cytochrome c biogenesis protein	cytochrome c biogenesis protein
NGFG_00241	ccsB	Nmen_FA1090_fromgene	NMB1803	NGO_0103	cytochrome c-type biogenesis protein CcsB	c-type cytochrome biogenesis protein CcsB	c-type cytochrome biogenesis protein CcsB
NGFG_00242	tsaD	Nmen_FA1090_fromgene	NMB1802	NGO_0104	glycoprotease/Kae1 family metallohydrolase	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
NGFG_00243			NMB1801	NGO_0105	lipid A biosynthesis lauroyl acyltransferase	lysophospholipid acyltransferase family protein	lysophospholipid acyltransferase family protein
NGFG_00245			NMB1799	NGO_0106	S-adenosylmethionine synthase	methionine adenosyltransferase	methionine adenosyltransferase
NGFG_00246	dacB	Nmen_FA1090_fromgene	NMB1797	NGO_0107	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
NGFG_00247			NMB1796	NGO_0108	oxidoreductase	NAD(P)H-dependent oxidoreductase	NAD(P)H-dependent oxidoreductase
NGFG_00249			NMB1794	NGO_0110	citrate transporter	CitMHS family transporter	CitMHS family transporter
NGFG_00250				NGO_00605	two-component system%2C OmpR family%2C response regulator	response regulator transcription factor	response regulator
NGFG_00251				NGO_0112	two-component system%2C OmpR family%2C sensor kinase QseC	HAMP domain-containing histidine kinase	two-component sensor histidine kinase
NGFG_00252	rng	Nmen_FA1090_fromgene	NMB1791	NGO_0113	cytoplasmic axial filament protein	ribonuclease G	ribonuclease G
NGFG_00253	grxC	Nmen_FA1090_fromgene	NMB1790	NGO_0114	glutaredoxin	glutaredoxin 3	glutaredoxin 3
NGFG_00254	secB	Nmen_FA1090_fromgene	NMB1789	NGO_0116	protein-export protein secB	protein-export chaperone SecB	protein-export chaperone SecB
NGFG_00255	recG	Nmen_FA1090_fromgene	NMB1788	NGO_0117	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG
NGFG_00256			NMB1787	NGO_0118	N-acetyl-gamma-glutamyl-phosphate reductase	N-acetyl-gamma-glutamyl-phosphate reductase	N-acetyl-gamma-glutamyl-phosphate reductase
NGFG_00257				NGO_0119	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00259			NMB1786	NGO_0121	Cupin family protein	cupin domain-containing protein	cupin domain-containing protein
NGFG_00260			NMB1785	NGO_00655	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00262			 |  | 	NGO_0123	Colicin V secretion protein	 | HlyD family efflux transporter periplasmic adaptor subunit | secretion protein	HlyD family efflux transporter periplasmic adaptor subunit
NGFG_00263				NGO_0124	hypothetical protein		hypothetical protein
NGFG_00264				NGO_0125	hypothetical protein		hypothetical protein
NGFG_00265			NMB0523	 | NGO_00680 | NGO_00685		ATP-binding cassette domain-containing protein	 | ATP-binding cassette domain-containing protein | ATP-binding cassette domain-containing protein
NGFG_00266			NMB0524	NGO_0127	virulence factor BrkB	YihY family inner membrane protein	YihY family inner membrane protein
NGFG_02262					Trp repressor binding protein	NAD(P)H-quinone oxidoreductase	NAD(P)H-quinone oxidoreductase
NGFG_00267	queC	Nmen_FA1090_fromgene	NMB0525	NGO_0129	queuosine biosynthesis protein QueC	7-cyano-7-deazaguanine synthase QueC	7-cyano-7-deazaguanine synthase QueC
NGFG_00268			NMB0526	NGO_0130	hypothetical protein	DUF1543 domain-containing protein	DUF1543 domain-containing protein
NGFG_00269	queD	Nmen_FA1090_fromgene	NMB0527	NGO_0131	queuosine biosynthesis protein QueD	6-carboxytetrahydropterin synthase QueD	6-carboxytetrahydropterin synthase QueD
NGFG_00270			NMB0528	NGO_00715	membrane protein	DUF1304 domain-containing protein	DUF1304 domain-containing protein
NGFG_00271	queE	Nmen_FA1090_fromproduct	NMB0529	NGO_00720	hypothetical protein	7-carboxy-7-deazaguanine synthase QueE	7-carboxy-7-deazaguanine synthase QueE
NGFG_06002			NMBt20	NGO_t03	tRNA-Pro	tRNA-Pro	tRNA-Pro
NGFG_00272	nagZ	Nmen_FA1090_fromgene	NMB0530	NGO_0135	beta-N-acetylhexosaminidase	beta-N-acetylhexosaminidase	beta-N-acetylhexosaminidase
NGFG_00273			NMB0531	NGO_0136	Na+:H+ antiporter	Na+/H+ antiporter NhaC family protein	Na+/H+ antiporter NhaC family protein
NGFG_00275			NMB0532	NGO_0138	peptidase Do	DegQ family serine endoprotease	DegQ family serine endoprotease
NGFG_00276	nth	Nmen_FA1090_fromgene	NMB0533	NGO_0139	endonuclease III	endonuclease III	endonuclease III
NGFG_00277			NMB0534	NGO_0140	membrane protein	DedA family protein	DedA family protein
NGFG_02263			NMB0535	NGO_0142	glucose/galactose transporter warning	sugar MFS transporter	sugar MFS transporter
NGFG_00281	nhaC	Nmen_FA1090_fromgene	NMB0536	NGO_0143	Na+/H+ antiporter NhaC	Na+/H+ antiporter NhaC	Na+/H+ antiporter NhaC
NGFG_00282			NMB0537	NGO_0144	magnesium and cobalt transporter	HlyC/CorC family transporter	CBS domain-containing protein
NGFG_00283	ybeY	Nmen_FA1090_fromgene	NMB0538	NGO_0145	rRNA maturation factor	rRNA maturation RNase YbeY	rRNA maturation RNase YbeY
NGFG_00284	hemC	Nmen_FA1090_fromgene	NMB0539	NGO_0146	porphobilinogen deaminase	hydroxymethylbilane synthase	hydroxymethylbilane synthase
NGFG_02264			NMB1386		hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02265			NMB1736	NGO_00200	hypothetical protein	IS630 family transposase	transposase
NGFG_00286				NGO_0147	FAD-binding protein	oxidoreductase	tryptophan 7-halogenase
NGFG_00287			NMB1422	NGO_0149	ATP-dependent RNA helicase	DEAD/DEAH box helicase	DEAD/DEAH box helicase
NGFG_00289	dusB	Nmen_FA1090_fromgene	NMB1421	NGO_0151	tRNA-dihydrouridine synthase B	tRNA dihydrouridine synthase DusB	tRNA dihydrouridine synthase DusB
NGFG_00291			NMB1420	NGO_0152	fis family transcriptional regulator%2C factor for inversion stimulation protein	Fis family transcriptional regulator	Fis family transcriptional regulator
NGFG_00292	ruvC	Nmen_FA1090_fromgene	NMB1419	NGO_0153	crossover junction endodeoxyribonuclease ruvC	crossover junction endodeoxyribonuclease RuvC	crossover junction endodeoxyribonuclease RuvC
NGFG_00293			NMB1418	NGO_0154	lipid A biosynthesis lauroyl acyltransferase	lipid A biosynthesis lauroyl acyltransferase	lipid A biosynthesis lauroyl acyltransferase
NGFG_00295			NMB1417	NGO_0156	hypothetical protein	3'-5' exonuclease	3'-5' exonuclease
NGFG_00297	pepN	Nmen_FA1090_fromgene	NMB1416	NGO_0158	aminopeptidase N	aminopeptidase N	aminopeptidase N
NGFG_02266			NMB1411	NGO_0528	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_00300					hypothetical protein		hypothetical protein
NGFG_00301			NMB0859	NGO_0163	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00302			NMB0860	NGO_0164	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00303			NMB0861	NGO_0165	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00304			NMB0866	NGO_0166	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_00305			NMB0586	NGO_0168	zinc/manganese ABC transporter substrate-binding protein	metal ABC transporter substrate-binding protein	zinc ABC transporter substrate-binding protein
NGFG_00306			NMB0587	NGO_0169	zinc/manganese ABC transporter permease	metal ABC transporter permease	metal ABC transporter permease
NGFG_00307			NMB0588	NGO_0170	zinc/manganese ABC transporter ATP-binding protein	metal ABC transporter ATP-binding protein	metal ABC transporter ATP-binding protein
NGFG_00308	rplS	Nmen_FA1090_fromgene	NMB0589	NGO_0171	50S ribosomal protein L19	50S ribosomal protein L19	50S ribosomal protein L19
NGFG_00309	trmD	Nmen_FA1090_fromgene	NMB0590	NGO_0172	tRNA (guanine-N(1)-)-methyltransferase	tRNA (guanosine(37)-N1)-methyltransferase TrmD	tRNA (guanosine(37)-N1)-methyltransferase TrmD
NGFG_00310	rimM	Nmen_FA1090_fromgene	NMB0591	NGO_0173	ribosome maturation factor rimM	ribosome maturation factor RimM	ribosome maturation factor RimM
NGFG_00311	rpsP	Nmen_FA1090_fromgene	NMB0592	NGO_0174	30S ribosomal protein S16	30S ribosomal protein S16	30S ribosomal protein S16
NGFG_00312			NMB0593	NGO_00940		bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase
NGFG_00313			NMB0594	NGO_0176	two-component system%2C OmpR family%2C sensor kinase	HAMP domain-containing histidine kinase	HAMP domain-containing histidine kinase
NGFG_00314			NMB0595	NGO_0177	two-component system%2C OmpR family%2C response regulator	response regulator transcription factor	response regulator transcription factor
NGFG_00316			NMB0596	NGO_0178	O-antigen polymerase	O-antigen ligase C-terminal domain-containing protein	O-antigen ligase C-terminal domain-containing protein
NGFG_00317			NMB0597	NGO_0179	hypothetical protein	DUF2069 domain-containing protein	DUF2069 domain-containing protein
NGFG_00318	maf	Nmen_FA1090_fromproduct	NMB0598	NGO_0180	septum formation protein Maf	septum formation inhibitor Maf	septum formation inhibitor Maf
NGFG_00319	tatC	Nmen_FA1090_fromgene	NMB0599	NGO_0181	twin arginine-targeting protein translocase TatC	twin-arginine translocase subunit TatC	twin-arginine translocase subunit TatC
NGFG_00320	tatB	Nmen_FA1090_fromgene	NMB0600	NGO_0182	twin arginine-targeting protein translocase TatB	twin-arginine translocase subunit TatB	twin-arginine translocase subunit TatB
NGFG_00321	tatA	Nmen_FA1090_fromgene	NMB0601	NGO_0183	TatA/E family twin arginine-targeting protein translocase	Sec-independent protein translocase subunit TatA	Sec-independent protein translocase subunit TatA
NGFG_00322			NMB0602	NGO_0184	purine nucleoside phosphoramidase	histidine triad nucleotide-binding protein	histidine triad nucleotide-binding protein
NGFG_00323			NMB0603	NGO_0185	phosphoribosyl-ATP pyrophosphatase	phosphoribosyl-ATP diphosphatase	phosphoribosyl-ATP diphosphatase
NGFG_00324			NMB0604	NGO_0186	zinc-binding alcohol dehydrogenase	2%2C3-butanediol dehydrogenase	2%2C3-butanediol dehydrogenase
NGFG_02267			NMB0919	NGO_03125	transposase	IS5 family transposase	transposase
NGFG_00325			NMB0605	NGO_0187	Histone deacetylase family protein	histone deacetylase family protein	histone deacetylase family protein
NGFG_00326	yajC	Nmen_FA1090_fromgene	NMB0606	NGO_0188	preprotein translocase%2C YajC subunit	preprotein translocase subunit YajC	preprotein translocase subunit YajC
NGFG_00327	secD	Nmen_FA1090_fromgene	NMB0607	NGO_0189	protein-export membrane protein SecD	protein translocase subunit SecD	protein translocase subunit SecD
NGFG_00328	secF	Nmen_FA1090_fromgene	NMB0608	NGO_0190	protein-export membrane protein SecF	protein translocase subunit SecF	protein translocase subunit SecF
NGFG_00329	rpsO	Nmen_FA1090_fromgene	NMB0609	NGO_0191	30S ribosomal protein S15	30S ribosomal protein S15	30S ribosomal protein S15
NGFG_00330	potA	Nmen_FA1090_fromgene	NMB0610	NGO_0192	polyamine ABC transporter%2C ATP-binding protein	polyamine ABC transporter ATP-binding protein	polyamine ABC transporter ATP-binding protein
NGFG_02268			NMB0611	NGO_01035	hypothetical protein	ABC transporter permease subunit	hypothetical protein
NGFG_00331			NMB0611	NGO_0195	putrescine ABC transporter permease	ABC transporter permease subunit	ABC transporter permease subunit
NGFG_00332			NMB0612	NGO_0196	putrescine ABC transporter permease	ABC transporter permease subunit	ABC transporter permease subunit
NGFG_00333			NMB0614	NGO_0197	oxidoreductase	FAD-binding oxidoreductase	FAD-binding oxidoreductase
NGFG_00334			NMB0615	NGO_0198	ammonium transporter	ammonium transporter	ammonium transporter
NGFG_00335	rho	Nmen_FA1090_fromgene	NMB0617	NGO_0199	transcription termination factor Rho	transcription termination factor Rho	transcription termination factor Rho
NGFG_00336	ppsA	Nmen_FA1090_fromgene	NMB0618	NGO_0200	phosphoenolpyruvate synthase	phosphoenolpyruvate synthase	phosphoenolpyruvate synthase
NGFG_02269			NMB1411	NGO_1211	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_00337			NMB0619	NGO_0202	hypothetical protein	kinase/pyrophosphorylase	kinase/pyrophosphorylase
NGFG_00338			NMB0620	NGO_0203	phosphoglycolate phosphatase%2C bacterial	HAD family hydrolase	HAD family hydrolase
NGFG_00339			NMB0621	NGO_0204	hypothetical protein	ferritin-like domain-containing protein	ferritin-like domain-containing protein
NGFG_00340	lolA	Nmen_FA1090_fromgene	NMB0622	NGO_0205	outer-membrane lipoprotein carrier protein	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA
NGFG_00341			NMB0623	NGO_0206	putrescine ABC transporter substrate-binding protein	extracellular solute-binding protein	polyamine ABC transporter substrate-binding protein
NGFG_00342	pglE	FA1090_fromgene	NMB0624	NGO_0207		glycosyltransferase	(galactosaminyl)2-N%2CN'-diacetylbacillosaminyl-alpha1-diphospho-di-trans%2Cocta-cis-undecaprenol synthase PglE
NGFG_00343			NMB0625	NGO_0208	hypothetical protein	gamma carbonic anhydrase family protein	gamma carbonic anhydrase family protein
NGFG_00345			NMB0626	NGO_0209	peptide chain release factor 3	peptide chain release factor 3	peptide chain release factor 3
NGFG_00346	hisI	Nmen_FA1090_fromgene	NMB0627	NGO_0210	phosphoribosyl-AMP cyclohydrolase	phosphoribosyl-AMP cyclohydrolase	phosphoribosyl-AMP cyclohydrolase
NGFG_00347	hisF	Nmen_FA1090_fromgene	NMB0628	NGO_0211	imidazole glycerol phosphate synthase subunit hisF	imidazole glycerol phosphate synthase subunit HisF	imidazole glycerol phosphate synthase subunit HisF
