locustag_in_Ngo	name_in_Ngo	type_in_Ngo	product_in_Ngo	gene_in_Nmen	locustag_in_Nmen	type_in_Nmen	product_in_Nmen
NGFG_00170	NGFG_00170	gene	tyrosine recombinase xerC	xerC	NMB1868	gene	tyrosine recombinase XerC
NGFG_00171	NGFG_00171	gene	1-deoxy-D-xylulose-5-phosphate synthase	dxs	NMB1867	gene	1-deoxy-D-xylulose-5-phosphate synthase
NGFG_00172	NGFG_00172	gene	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB	miaB	NMB1866	gene	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
NGFG_02254	NGFG_02254	gene	hypothetical protein			pseudogene	glucosamine-fructose-6-phosphate aminotransferase
NGFG_02255	NGFG_02255	gene	hypothetical protein			gene	hypothetical protein
NGFG_00174	NGFG_00174	gene	glutamate-1-semialdehyde 2%2C1-aminomutase	hemL	NMB1864	gene	glutamate-1-semialdehyde 2%2C1-aminomutase
NGFG_02256	NGFG_02256	pseudogene			 | NMB1736 | 	 | gene | 	 | IS630 family transposase | IS630 family transposase
NGFG_00175	NGFG_00175	gene	oligoribonuclease	orn	NMB1863	gene	oligoribonuclease
NGFG_00176	NGFG_00176	gene	ribosomal protein L11 methyltransferase	prmA	NMB1862	gene	50S ribosomal protein L11 methyltransferase
NGFG_00177	NGFG_00177	gene	biotin carboxylase	accC	NMB1861	gene	acetyl-CoA carboxylase biotin carboxylase subunit
NGFG_00178	NGFG_00178	gene	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein		NMB1860	gene	acetyl-CoA carboxylase biotin carboxyl carrier protein
NGFG_00180	NGFG_00180	gene	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	NMB1859	gene	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
NGFG_00181	NGFG_00181	gene	carbamoyl-phosphate synthase large chain	carB	NMB1855	gene	carbamoyl-phosphate synthase large subunit
NGFG_00182	NGFG_00182	gene	hypothetical protein				
NGFG_00183	NGFG_00183	gene	hypothetical protein				
NGFG_00184	NGFG_00184	gene	DNA (Cytosine-5-)-methyltransferase		NMB1852	gene	DUF559 domain-containing protein
NGFG_00186	NGFG_00186	gene	glyoxalase			gene	glyoxalase
NGFG_00187	NGFG_00187	gene	carbamoyl-phosphate synthase small chain	carA	NMB1849	gene	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
NGFG_00188	NGFG_00188	pseudogene			NMB0049	gene	pilus assembly protein
NGFG_02257	NGFG_02257	gene	hypothetical protein				
NGFG_00189	NGFG_00189	gene	chromosome partitioning ATPase	apbC	NMB1846	gene	iron-sulfur cluster carrier protein ApbC
NGFG_06001	NGFG_06001	tRNA	tRNA-Lys		NMBt01	tRNA	tRNA-Lys
NGFG_00190	NGFG_00190	gene	thioredoxin		NMB1845	gene	protein disulfide oxidoreductase
NGFG_00192	NGFG_00192	gene	homoprotocatechuate degradation operon regulator%2C HpaR	nadR	NMB1843	gene	MarR family adhesin repressor NadR
NGFG_00193	NGFG_00193	gene	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component	hpaC	NMB1842	gene	4-hydroxyphenylacetate 3-monooxygenase%2C reductase component
NGFG_00194	NGFG_00194	gene	sugar-phosphate transferase		NMB1841	gene	nucleotidyltransferase family protein
NGFG_00195	NGFG_00195	gene	membrane protein		NMB1840	gene	EamA family transporter
NGFG_00196	NGFG_00196	gene	formate-tetrahydrofolate ligase		NMB1839	gene	formate--tetrahydrofolate ligase
NGFG_00197	NGFG_00197	gene	GTP-binding protein YchF	ychF	NMB1838	gene	redox-regulated ATPase YchF
NGFG_00199	NGFG_00199	gene	lipopolysaccharide biosynthesis protein WbpC		NMB1836	gene	acyltransferase
NGFG_00200	NGFG_00200	gene	tyrosyl-tRNA synthetase	tyrS	NMB1835	gene	tyrosine--tRNA ligase
NGFG_02258	NGFG_02258	gene	opacity protein		NMB1636	gene	outer membrane beta-barrel protein
NGFG_00203	NGFG_00203	gene	riboflavin biosynthesis protein RibF	ribF	NMB1834	gene	bifunctional riboflavin kinase/FAD synthetase
NGFG_00204	NGFG_00204	gene	isoleucyl-tRNA synthetase	ileS	NMB1833	gene	isoleucine--tRNA ligase
NGFG_02259	NGFG_02259	gene	opacity protein		NMB1636	gene	outer membrane beta-barrel protein
NGFG_00207	NGFG_00207	gene	lipoprotein signal peptidase		NMB1832	gene	lipoprotein signal peptidase
NGFG_00208	NGFG_00208	gene	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	NMB1831	gene	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NGFG_02260	NGFG_02260	gene	transposase		NMB0919	gene	IS5 family transposase
NGFG_00209	NGFG_00209	gene	phosphoglycolate phosphatase		NMB1830	gene	HAD family hydrolase
NGFG_02261	NGFG_02261	pseudogene			NMB1829	gene	TonB-dependent siderophore receptor
NGFG_00213	NGFG_00213	pseudogene			NMB1828	gene	alpha/beta hydrolase
NGFG_00214	NGFG_00214	gene	DNA polymerase III subunit alpha	dnaE	NMB1827	gene	DNA polymerase III subunit alpha
NGFG_00217	NGFG_00217	gene	ribosome-associated protein		NMB1826	gene	RNA-binding S4 domain-containing protein
NGFG_00218	NGFG_00218	gene	hypothetical protein		NMB1825	gene	hypothetical protein
NGFG_00219	NGFG_00219	gene	PHP domain protein		NMB1824	gene	PHP domain-containing protein
NGFG_00220	NGFG_00220	gene	valine-pyruvate aminotransferase		NMB1823	gene	valine--pyruvate transaminase
NGFG_00221	NGFG_00221	gene	pilin glycosylation protein PglD	pglD	NMB1822	gene	NADH-dependent dehydratase PglD
NGFG_00222	NGFG_00222	gene	pilin glycosylation protein PglC		NMB1821	gene	DegT/DnrJ/EryC1/StrS aminotransferase family protein
NGFG_00223	NGFG_00223	gene	pilin glycosylation protein PglB		NMB1820	gene	NeuD/PglB/VioB family sugar acetyltransferase
NGFG_00224	NGFG_00224	gene	lipopolysaccharide biosynthesis translocase		NMB1818	gene	lipopolysaccharide biosynthesis protein
NGFG_00225	NGFG_00225	gene	riboflavin biosynthesis protein RibD	ribD	NMB1817	gene	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
NGFG_00226	NGFG_00226	gene	transcriptional repressor NrdR	nrdR	NMB1816	gene	transcriptional repressor NrdR
NGFG_00227	NGFG_00227	gene	glutamine amidotransferase		NMB1815	gene	class II glutamine amidotransferase
NGFG_00230	NGFG_00230	gene	3-dehydroquinate synthase	aroB	NMB1814	gene	3-dehydroquinate synthase
NGFG_00231	NGFG_00231	gene	shikimate kinase		NMB1813	gene	shikimate kinase
NGFG_00232	NGFG_00232	gene	type IV pilus biogenesis and competence protein pilQ		NMB1812	gene	type IV pilus secretin PilQ
NGFG_00233	NGFG_00233	gene	type IV pilus assembly protein PilP		NMB1811	gene	pilus assembly protein PilP
NGFG_00234	NGFG_00234	gene	type IV pilus assembly protein PilO		NMB1810	gene	type 4a pilus biogenesis protein PilO
NGFG_00235	NGFG_00235	gene	type IV pilus assembly protein PilN		NMB1809	gene	PilN domain-containing protein
NGFG_00236	NGFG_00236	gene	type IV pilus assembly protein PilM		NMB1808	gene	pilus assembly protein PilM
NGFG_00237	NGFG_00237	gene	penicillin-binding protein 1A		NMB1807	gene	penicillin-binding protein 1A
NGFG_00238	NGFG_00238	gene	ribosome biogenesis GTP-binding protein YsxC		NMB1806	gene	YihA family ribosome biogenesis GTP-binding protein
NGFG_00239	NGFG_00239	gene	cytochrome c		NMB1805	gene	cytochrome c4
NGFG_00240	NGFG_00240	gene	cytochrome c biogenesis protein		NMB1804	gene	cytochrome c biogenesis protein
NGFG_00241	NGFG_00241	gene	cytochrome c-type biogenesis protein CcsB	ccsB	NMB1803	gene	c-type cytochrome biogenesis protein CcsB
NGFG_00242	NGFG_00242	gene	glycoprotease/Kae1 family metallohydrolase	tsaD	NMB1802	gene	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
NGFG_00243	NGFG_00243	gene	lipid A biosynthesis lauroyl acyltransferase		NMB1801	gene	lysophospholipid acyltransferase family protein
NGFG_00245	NGFG_00245	gene	S-adenosylmethionine synthase		NMB1799	gene	methionine adenosyltransferase
NGFG_00246	NGFG_00246	gene	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	dacB	NMB1797	gene	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
NGFG_00247	NGFG_00247	gene	oxidoreductase		NMB1796	gene	NAD(P)H-dependent oxidoreductase
NGFG_00249	NGFG_00249	gene	citrate transporter		NMB1794	gene	CitMHS family transporter
NGFG_00250	NGFG_00250	gene	two-component system%2C OmpR family%2C response regulator			pseudogene	response regulator transcription factor
NGFG_00251	NGFG_00251	gene	two-component system%2C OmpR family%2C sensor kinase QseC			gene	HAMP domain-containing histidine kinase
NGFG_00252	NGFG_00252	gene	cytoplasmic axial filament protein	rng	NMB1791	gene	ribonuclease G
NGFG_00253	NGFG_00253	gene	glutaredoxin	grxC	NMB1790	gene	glutaredoxin 3
NGFG_00254	NGFG_00254	gene	protein-export protein secB	secB	NMB1789	gene	protein-export chaperone SecB
NGFG_00255	NGFG_00255	gene	ATP-dependent DNA helicase RecG	recG	NMB1788	gene	ATP-dependent DNA helicase RecG
NGFG_00256	NGFG_00256	gene	N-acetyl-gamma-glutamyl-phosphate reductase		NMB1787	gene	N-acetyl-gamma-glutamyl-phosphate reductase
NGFG_00257	NGFG_00257	gene	hypothetical protein			pseudogene	hypothetical protein
NGFG_00259	NGFG_00259	gene	Cupin family protein		NMB1786	gene	cupin domain-containing protein
NGFG_00260	NGFG_00260	gene	hypothetical protein		NMB1785	gene	hypothetical protein
NGFG_00262	NGFG_00262	gene	Colicin V secretion protein		 |  | 	 | gene | gene	 | HlyD family efflux transporter periplasmic adaptor subunit | secretion protein
NGFG_00263	NGFG_00263	gene	hypothetical protein				
NGFG_00264	NGFG_00264	gene	hypothetical protein				
NGFG_00265	NGFG_00265	pseudogene			NMB0523	pseudogene	ATP-binding cassette domain-containing protein
NGFG_00266	NGFG_00266	gene	virulence factor BrkB		NMB0524	gene	YihY family inner membrane protein
NGFG_02262	NGFG_02262	gene	Trp repressor binding protein			pseudogene	NAD(P)H-quinone oxidoreductase
NGFG_00267	NGFG_00267	gene	queuosine biosynthesis protein QueC	queC	NMB0525	gene	7-cyano-7-deazaguanine synthase QueC
NGFG_00268	NGFG_00268	gene	hypothetical protein		NMB0526	gene	DUF1543 domain-containing protein
NGFG_00269	NGFG_00269	gene	queuosine biosynthesis protein QueD	queD	NMB0527	gene	6-carboxytetrahydropterin synthase QueD
NGFG_00270	NGFG_00270	gene	membrane protein		NMB0528	gene	DUF1304 domain-containing protein
NGFG_00271	NGFG_00271	gene	hypothetical protein		NMB0529	gene	7-carboxy-7-deazaguanine synthase QueE
NGFG_06002	NGFG_06002	tRNA	tRNA-Pro		NMBt20	tRNA	tRNA-Pro
NGFG_00272	NGFG_00272	gene	beta-N-acetylhexosaminidase	nagZ	NMB0530	gene	beta-N-acetylhexosaminidase
NGFG_00273	NGFG_00273	gene	Na+:H+ antiporter		NMB0531	gene	Na+/H+ antiporter NhaC family protein
NGFG_00275	NGFG_00275	gene	peptidase Do		NMB0532	gene	DegQ family serine endoprotease
NGFG_00276	NGFG_00276	gene	endonuclease III	nth	NMB0533	gene	endonuclease III
NGFG_00277	NGFG_00277	gene	membrane protein		NMB0534	gene	DedA family protein
NGFG_02263	NGFG_02263	gene	glucose/galactose transporter warning		NMB0535	gene	sugar MFS transporter
NGFG_00281	NGFG_00281	gene	Na+/H+ antiporter NhaC	nhaC	NMB0536	gene	Na+/H+ antiporter NhaC
NGFG_00282	NGFG_00282	gene	magnesium and cobalt transporter		NMB0537	gene	HlyC/CorC family transporter
NGFG_00283	NGFG_00283	gene	rRNA maturation factor	ybeY	NMB0538	gene	rRNA maturation RNase YbeY
NGFG_00284	NGFG_00284	gene	porphobilinogen deaminase	hemC	NMB0539	gene	hydroxymethylbilane synthase
NGFG_02264	NGFG_02264	gene	hypothetical protein		NMB1386	pseudogene	hypothetical protein
NGFG_02265	NGFG_02265	gene	hypothetical protein		NMB1736	gene	IS630 family transposase
NGFG_00286	NGFG_00286	gene	FAD-binding protein			gene	oxidoreductase
NGFG_00287	NGFG_00287	gene	ATP-dependent RNA helicase		NMB1422	gene	DEAD/DEAH box helicase
NGFG_00289	NGFG_00289	gene	tRNA-dihydrouridine synthase B	dusB	NMB1421	gene	tRNA dihydrouridine synthase DusB
NGFG_00291	NGFG_00291	gene	fis family transcriptional regulator%2C factor for inversion stimulation protein		NMB1420	gene	Fis family transcriptional regulator
NGFG_00292	NGFG_00292	gene	crossover junction endodeoxyribonuclease ruvC	ruvC	NMB1419	gene	crossover junction endodeoxyribonuclease RuvC
NGFG_00293	NGFG_00293	gene	lipid A biosynthesis lauroyl acyltransferase		NMB1418	gene	lipid A biosynthesis lauroyl acyltransferase
NGFG_00295	NGFG_00295	gene	hypothetical protein		NMB1417	gene	3'-5' exonuclease
NGFG_00297	NGFG_00297	gene	aminopeptidase N	pepN	NMB1416	gene	aminopeptidase N
NGFG_02266	NGFG_02266	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_00300	NGFG_00300	gene	hypothetical protein				
NGFG_00301	NGFG_00301	gene	hypothetical protein		NMB0859	gene	hypothetical protein
NGFG_00302	NGFG_00302	gene	hypothetical protein		NMB0860	gene	hypothetical protein
NGFG_00303	NGFG_00303	gene	hypothetical protein		NMB0861	gene	hypothetical protein
NGFG_00304	NGFG_00304	gene	hypothetical protein		NMB0866	gene	hypothetical protein
NGFG_00305	NGFG_00305	gene	zinc/manganese ABC transporter substrate-binding protein		NMB0586	gene	metal ABC transporter substrate-binding protein
NGFG_00306	NGFG_00306	gene	zinc/manganese ABC transporter permease		NMB0587	gene	metal ABC transporter permease
NGFG_00307	NGFG_00307	gene	zinc/manganese ABC transporter ATP-binding protein		NMB0588	gene	metal ABC transporter ATP-binding protein
NGFG_00308	NGFG_00308	gene	50S ribosomal protein L19	rplS	NMB0589	gene	50S ribosomal protein L19
NGFG_00309	NGFG_00309	gene	tRNA (guanine-N(1)-)-methyltransferase	trmD	NMB0590	gene	tRNA (guanosine(37)-N1)-methyltransferase TrmD
NGFG_00310	NGFG_00310	gene	ribosome maturation factor rimM	rimM	NMB0591	gene	ribosome maturation factor RimM
NGFG_00311	NGFG_00311	gene	30S ribosomal protein S16	rpsP	NMB0592	gene	30S ribosomal protein S16
NGFG_00312	NGFG_00312	pseudogene			NMB0593	gene	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase
NGFG_00313	NGFG_00313	gene	two-component system%2C OmpR family%2C sensor kinase		NMB0594	gene	HAMP domain-containing histidine kinase
NGFG_00314	NGFG_00314	gene	two-component system%2C OmpR family%2C response regulator		NMB0595	gene	response regulator transcription factor
NGFG_00316	NGFG_00316	gene	O-antigen polymerase		NMB0596	gene	O-antigen ligase C-terminal domain-containing protein
NGFG_00317	NGFG_00317	gene	hypothetical protein		NMB0597	gene	DUF2069 domain-containing protein
NGFG_00318	NGFG_00318	gene	septum formation protein Maf		NMB0598	gene	septum formation inhibitor Maf
NGFG_00319	NGFG_00319	gene	twin arginine-targeting protein translocase TatC	tatC	NMB0599	gene	twin-arginine translocase subunit TatC
NGFG_00320	NGFG_00320	gene	twin arginine-targeting protein translocase TatB	tatB	NMB0600	gene	twin-arginine translocase subunit TatB
NGFG_00321	NGFG_00321	gene	TatA/E family twin arginine-targeting protein translocase	tatA	NMB0601	gene	Sec-independent protein translocase subunit TatA
NGFG_00322	NGFG_00322	gene	purine nucleoside phosphoramidase		NMB0602	gene	histidine triad nucleotide-binding protein
NGFG_00323	NGFG_00323	gene	phosphoribosyl-ATP pyrophosphatase		NMB0603	gene	phosphoribosyl-ATP diphosphatase
NGFG_00324	NGFG_00324	gene	zinc-binding alcohol dehydrogenase		NMB0604	gene	2%2C3-butanediol dehydrogenase
NGFG_02267	NGFG_02267	gene	transposase		NMB0919	gene	IS5 family transposase
NGFG_00325	NGFG_00325	gene	Histone deacetylase family protein		NMB0605	gene	histone deacetylase family protein
NGFG_00326	NGFG_00326	gene	preprotein translocase%2C YajC subunit	yajC	NMB0606	gene	preprotein translocase subunit YajC
NGFG_00327	NGFG_00327	gene	protein-export membrane protein SecD	secD	NMB0607	gene	protein translocase subunit SecD
NGFG_00328	NGFG_00328	gene	protein-export membrane protein SecF	secF	NMB0608	gene	protein translocase subunit SecF
NGFG_00329	NGFG_00329	gene	30S ribosomal protein S15	rpsO	NMB0609	gene	30S ribosomal protein S15
NGFG_00330	NGFG_00330	gene	polyamine ABC transporter%2C ATP-binding protein	potA	NMB0610	gene	polyamine ABC transporter ATP-binding protein
NGFG_02268	NGFG_02268	gene	hypothetical protein		NMB0611	gene	ABC transporter permease subunit
NGFG_00331	NGFG_00331	gene	putrescine ABC transporter permease		NMB0611	gene	ABC transporter permease subunit
NGFG_00332	NGFG_00332	gene	putrescine ABC transporter permease		NMB0612	gene	ABC transporter permease subunit
NGFG_00333	NGFG_00333	gene	oxidoreductase		NMB0614	gene	FAD-binding oxidoreductase
NGFG_00334	NGFG_00334	gene	ammonium transporter		NMB0615	gene	ammonium transporter
NGFG_00335	NGFG_00335	gene	transcription termination factor Rho	rho	NMB0617	gene	transcription termination factor Rho
NGFG_00336	NGFG_00336	gene	phosphoenolpyruvate synthase	ppsA	NMB0618	gene	phosphoenolpyruvate synthase
NGFG_02269	NGFG_02269	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_00337	NGFG_00337	gene	hypothetical protein		NMB0619	gene	kinase/pyrophosphorylase
NGFG_00338	NGFG_00338	gene	phosphoglycolate phosphatase%2C bacterial		NMB0620	gene	HAD family hydrolase
NGFG_00339	NGFG_00339	gene	hypothetical protein		NMB0621	gene	ferritin-like domain-containing protein
NGFG_00340	NGFG_00340	gene	outer-membrane lipoprotein carrier protein	lolA	NMB0622	gene	outer membrane lipoprotein chaperone LolA
NGFG_00341	NGFG_00341	gene	putrescine ABC transporter substrate-binding protein		NMB0623	gene	extracellular solute-binding protein
NGFG_00342	NGFG_00342	pseudogene			NMB0624	pseudogene	glycosyltransferase
NGFG_00343	NGFG_00343	gene	hypothetical protein		NMB0625	gene	gamma carbonic anhydrase family protein
NGFG_00345	NGFG_00345	gene	peptide chain release factor 3		NMB0626	gene	peptide chain release factor 3
NGFG_00346	NGFG_00346	gene	phosphoribosyl-AMP cyclohydrolase	hisI	NMB0627	gene	phosphoribosyl-AMP cyclohydrolase
NGFG_00347	NGFG_00347	gene	imidazole glycerol phosphate synthase subunit hisF	hisF	NMB0628	gene	imidazole glycerol phosphate synthase subunit HisF
NGFG_00348	NGFG_00348	gene	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	hisA	NMB0629	gene	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
NGFG_00349	NGFG_00349	gene	imidazole glycerol phosphate synthase subunit hisH	hisH	NMB0630	gene	imidazole glycerol phosphate synthase subunit HisH
NGFG_00350	NGFG_00350	gene	phosphate acetyltransferase	pta	NMB0631	gene	phosphate acetyltransferase
NGFG_00351	NGFG_00351	gene	Fe(3+) ions import ATP-binding protein FbpC		NMB0632	gene	heme ABC transporter ATP-binding protein FbpC
NGFG_00352	NGFG_00352	gene	Fe(3+)-transport system permease fbpB 2		NMB0633	gene	heme ABC transporter permease FbpB
NGFG_00353	NGFG_00353	gene	major ferric iron-binding protein		NMB0634	gene	heme ABC transporter substrate-binding protein FbpA
NGFG_00355	NGFG_00355	gene	hypothetical protein		NMB0636	gene	DUF4375 domain-containing protein
NGFG_00356	NGFG_00356	gene	argininosuccinate lyase	argH	NMB0637	gene	argininosuccinate lyase
NGFG_00357	NGFG_00357	gene	UTP-glucose-1-phosphate uridylyltransferase	galU	NMB0638	gene	UTP--glucose-1-phosphate uridylyltransferase GalU
NGFG_00358	NGFG_00358	gene	nucleoside-triphosphatase	rdgB	NMB0639	gene	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase
NGFG_00359	NGFG_00359	gene	hypothetical protein		NMB0640	gene	hypothetical protein
NGFG_00360	NGFG_00360	gene	inorganic pyrophosphatase		NMB0641	gene	inorganic diphosphatase
NGFG_00361	NGFG_00361	gene	dATP pyrophosphohydrolase	nudB	NMB0642	gene	dihydroneopterin triphosphate diphosphatase
NGFG_06003	NGFG_06003	tRNA	tRNA-Pro		NMBt21	tRNA	tRNA-Pro
NGFG_00362	NGFG_00362	gene	MafB family adhesin protein	mafB	NMB0643	gene	polymorphic toxin MafB class 2
NGFG_00363	NGFG_00363	gene	hypothetical protein		NMB0648	gene	hypothetical protein
NGFG_02270	NGFG_02270	gene	hypothetical protein				
NGFG_00364	NGFG_00364	gene	hypothetical protein				
NGFG_00366	NGFG_00366	gene	hypothetical protein		NMB0651	gene	hypothetical protein
NGFG_02271	NGFG_02271	gene	TrkH family potassium uptake protein		NMB0661	gene	potassium transporter Trk
NGFG_02272	NGFG_02272	gene	Bis(5'-nucleosyl)-tetraphosphatase			pseudogene	symmetrical bis(5'-nucleosyl)-tetraphosphatase
NGFG_00368	NGFG_00368	gene	endoribonuclease L-PSP		NMB0662	gene	RidA family protein
NGFG_00369	NGFG_00369	gene	opacity protein	nspA	NMB0663	gene	outer membrane beta-barrel protein NspA
NGFG_00371	NGFG_00371	gene	oxygen-independent coproporphyrinogen III oxidase		NMB0665	gene	oxygen-independent coproporphyrinogen III oxidase-like protein
NGFG_00372	NGFG_00372	gene	DNA ligase	ligA	NMB0666	gene	NAD-dependent DNA ligase LigA
NGFG_00373	NGFG_00373	gene	hypothetical protein		NMB0667	gene	cell division protein ZipA
NGFG_00374	NGFG_00374	gene	N-acetyl-anhydromuranmyl-L-alanine amidase AmpD	ampD	NMB0668	gene	1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
NGFG_00375	NGFG_00375	gene	aminodeoxychorismate lyase	mltG	NMB0669	gene	endolytic transglycosylase MltG
NGFG_00376	NGFG_00376	gene	thymidylate kinase		NMB0670	gene	dTMP kinase
NGFG_00377	NGFG_00377	gene	malate dehydrogenase		NMB0671	gene	malic enzyme
NGFG_00378	NGFG_00378	gene	hypothetical protein			pseudogene	hypothetical protein
NGFG_00379	NGFG_00379	gene	tetraacyldisaccharide 4'-kinase		NMB0672	gene	tetraacyldisaccharide 4'-kinase
NGFG_02273	NGFG_02273	gene	hypothetical protein		NMB0673	gene	DUF2059 domain-containing protein
NGFG_00381	NGFG_00381	gene	3-deoxy-manno-octulosonate cytidylyltransferase	kdsB	NMB0675	gene	3-deoxy-manno-octulosonate cytidylyltransferase
NGFG_02274	NGFG_02274	gene	hypothetical protein		NMB0676	pseudogene	3-deoxy-manno-octulosonate cytidylyltransferase
NGFG_00383	NGFG_00383	gene	hypothetical protein			gene	hypothetical protein
NGFG_06004	NGFG_06004	tRNA	tRNA-Ser		NMBt22	tRNA	tRNA-Ser
NGFG_00384	NGFG_00384	gene	tryptophan synthase alpha chain		NMB0678	gene	tryptophan synthase subunit alpha
NGFG_00385	NGFG_00385	gene	acetyl-CoA carboxylase%2C carboxyl transferase%2C beta subunit		NMB0679	gene	acetyl-CoA carboxylase carboxyltransferase subunit beta
NGFG_00386	NGFG_00386	gene	hypothetical protein		NMB0680	gene	cryptic protein cnp1
NGFG_00387	NGFG_00387	gene	UPF0033 protein		NMB0681	gene	sulfurtransferase TusA family protein
NGFG_02275	NGFG_02275	gene	lipoprotein				
NGFG_02276	NGFG_02276	gene	hypothetical protein				IS630 family transposase
NGFG_02277	NGFG_02277	gene	hypothetical protein		NMB1386	pseudogene	hypothetical protein
NGFG_00390	NGFG_00390	gene	dihydroorotase	pyrC	NMB0682	gene	dihydroorotase
NGFG_00391	NGFG_00391	gene	transcription antitermination factor NusB	nusB	NMB0683	gene	transcription antitermination factor NusB
NGFG_00392	NGFG_00392	gene	6%2C7-dimethyl-8-ribityllumazine synthase		NMB0684	gene	6%2C7-dimethyl-8-ribityllumazine synthase
NGFG_00393	NGFG_00393	gene	hypothetical protein		NMB0685	gene	DUF2185 domain-containing protein
