locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	locustag_in_Nmen	GN_in_Nmen	locustag_in_FA1090	GN_in_FA1090
NGFG_02370		gene	phage protein			NGO_1130	
NGFG_02213		gene	hypothetical protein			NGO_1131	
NGFG_02371		gene	phage protein			NGO_1131	
NGFG_02373		gene	hypothetical protein			NGO_0773	
NGFG_02374		gene	phage protein			NGO_06650	
NGFG_02073		gene	TspB-like protein	NMB1748		NGO_1264	
NGFG_02075		gene	hypothetical protein	NMB0482		NGO_1142	
NGFG_02378		gene	transposase	NMB1411		NGO_0673	
NGFG_02379		gene	hypothetical protein			NGO_1137	
NGFG_02380		gene	phage protein			NGO_06650	
NGFG_02381		gene	phage protein	NMB1749		NGO_1263	
NGFG_02382		gene	phage protein	NMB1748		NGO_1264	
NGFG_02383		gene	TspB3 protein	NMB1747	tspB	NGO_1140	tspB
NGFG_02386		gene	hypothetical protein	NMB0482		NGO_1142	
NGFG_02387		gene	hypothetical protein	NMB0484		NGO_1169	
NGFG_02388		gene	hypothetical protein	NMB0485		NGO_1170	
NGFG_02391		gene	comEA protein	NMB0299		NGO_1178	
NGFG_02392		gene	transposase	NMB1411		NGO_0528	
NGFG_02393		gene	hypothetical protein			NGO_0773	
NGFG_02394		gene	transposase			NGO_0072a	
NGFG_02395		gene	transposase	NMB1411		NGO_1211	
NGFG_02397		gene	transposase	NMB1411		NGO_0673	
NGFG_02398		gene	hypothetical protein			NGO_1137	
NGFG_02399		gene	phage protein			NGO_06650	
NGFG_02400		gene	phage protein	NMB1749		NGO_1263	
NGFG_02401		gene	phage protein	NMB1748		NGO_1264	
NGFG_02402		gene	TspB-like protein	NMB1747	tspB	NGO_1140	tspB
NGFG_02404		gene	hypothetical protein	NMB0482		NGO_1142	
NGFG_02196		gene	hypothetical protein	NMB0484		NGO_1169	
NGFG_02197		gene	hypothetical protein	NMB0485		NGO_1170	
NGFG_02405		gene	pilin pilS5			NGO_11165	
NGFG_02406		gene	opacity protein	NMB1465		NGO_1277a	
NGFG_02157		gene	sulfatase	NMB1638	lptA	NGO_06735	
NGFG_02408		gene	transposase	NMB1411		NGO_0673	
NGFG_02409		gene	comEA protein	NMB0299		NGO_1178	
NGFG_02410		gene	transposase	NMB1411		NGO_0528	
NGFG_02411		gene	hypothetical protein	NMB1736		NGO_00200	
NGFG_02419		gene	MafB family adhesin protein	NMB0374	mafB	NGO_1392	mafB
NGFG_02194		gene	adhesin mafA 2/3	NMB0375	mafA	NGO_1393	mafA
NGFG_02420		gene	transposase	NMB1411		NGO_0673	
NGFG_02422		gene	transposase	NMB1411		NGO_1211	
NGFG_02424		gene	hypothetical protein	NMB1736		NGO_00200	
NGFG_02237		gene	opacity protein			NGO_07715	
NGFG_02432		gene	opacity protein	NMB1636		NGO_1040a	
NGFG_02435		gene	opacity protein	NMB1465		NGO_1040a	
NGFG_02436		gene	hypothetical protein			NGO_07715	
NGFG_02438		gene	MafA family adhesin protein	NMB0375	mafA	NGO_1393	mafA
NGFG_01350		gene	MafB family adhesin protein	NMB0374	mafB	NGO_1392	mafB
NGFG_02444		gene	hypothetical protein			NGO_1131	
NGFG_02445		gene	phage protein			NGO_1130	
NGFG_02446		gene	phage protein			NGO_0467	
NGFG_02206		gene	phage protein			NGO_0468	
NGFG_02207		gene	phage protein			NGO_0469	
NGFG_02208		gene	phage protein			NGO_0470	
NGFG_01320		gene	phage protein			NGO_1622	
NGFG_01319		gene	phage protein			NGO_1123	
NGFG_02225		gene	phage protein			NGO_0480	
NGFG_02226		gene	phage protein			NGO_0481	
NGFG_02243		gene	phage protein			NGO_0487	
NGFG_02448		gene	phage protein			NGO_0488	
NGFG_02449		gene	phage protein			NGO_1640	
NGFG_02450		gene	hypothetical protein			NGO_1137	
NGFG_02239		gene	phage protein			NGO_06650	
NGFG_02070		gene	phage protein	NMB1749		NGO_1263	
NGFG_02071		gene	phage protein	NMB1748		NGO_1264	
NGFG_02453		gene	integral membrane protein	NMB1550		NGO_1646	
NGFG_02454		gene	Zona occludens toxin	NMB1551		NGO_1647	
NGFG_02455		gene	transposase	NMB1552		NGO_1648	
NGFG_02097		gene	phage protein			NGO_0519	
NGFG_02458		gene	comEA protein	NMB0299		NGO_1178	
NGFG_02069		gene	hypothetical protein			NGO_0773	
NGFG_02462		gene	hypothetical protein			NGO_1074	
NGFG_02467		gene	opacity protein	NMB1636		NGO_1040a	
NGFG_02471		gene	comEA protein	NMB0299		NGO_1178	
NGFG_01915		gene	MafB family adhesin protein	NMB2105	mafB	NGO_1971	
NGFG_02478		gene	MafB family adhesin protein	NMB2105	mafB	NGO_1971	
NGFG_02219	mafA	gene	adhesin mafA	NMB2104	mafA	NGO_1067	mafA
NGFG_02483		gene	opacity protein	NMB1465		NGO_1040a	
NGFG_01818		gene	pilin pilEuss3	NMB0023		NGO_11165	
NGFG_00001		gene	pilin invertase/transposase	NMB1552		NGO_1648	
NGFG_00002		gene	zona occludens toxin	NMB1551		NGO_1647	
NGFG_00003		gene	integral membrane protein	NMB1550		NGO_1646	
NGFG_02486		gene	TspB protein	NMB1548	tspB	NGO_1140	tspB
